def.event_author_id,def.event_object_creator,a.native_author,b.native_creator,time.datetime,def.d_release,time.Year,time.Month,time.Day,def.event_url,def.row_type,weight,deo.Event_object_native_name
1269,1265,Frank,steffen.pingel,11-19-2007 17:53:16,2.2,2007,11,19,f4901719-c0a8-0169-2a8c-eeeae50735c6,1,0.0655643516747197,add create subtask action for Bugzilla editor
1265,1265,steffen.pingel,steffen.pingel,11-19-2007 18:02:52,2.2,2007,11,19,f4901719-c0a8-0169-2a8c-eeeae50735c6,1,0.0643074104437015,add create subtask action for Bugzilla editor
1265,1265,steffen.pingel,steffen.pingel,11-19-2007 18:45:02,2.2,2007,11,19,f490ca83-c0a8-0169-2a8c-eeea6a10610e,1,0.0074901194217776,JIRA fixes to 2.1
1265,1265,steffen.pingel,steffen.pingel,11-19-2007 18:49:12,2.2,2007,11,19,f490e878-c0a8-0169-2a8c-eeea852a9b28,1,0.0121465535279459,hyperlink tooltips follow mouse pointer
1264,1265,ekuleshov,steffen.pingel,11-19-2007 19:00:59,2.2,2007,11,19,f4910e17-c0a8-0169-2a8c-eeea2e0ca5e3,0,0.0153400823743193,handle error when the number of search result is exceeded on the server
1264,1265,ekuleshov,steffen.pingel,11-19-2007 19:00:59,2.2,2007,11,19,f4910e17-c0a8-0169-2a8c-eeea2e0ca5e3,1,0.142894191624432,handle error when the number of search result is exceeded on the server
1260,1260,mik.kersten,mik.kersten,11-19-2007 19:13:42,2.2,2007,11,19,f4911b7d-c0a8-0169-2a8c-eeea5d73790f,0,0.99,"add ""Repository Properties"" button to query"
1264,1260,ekuleshov,mik.kersten,11-19-2007 19:20:48,2.2,2007,11,19,f4911b7d-c0a8-0169-2a8c-eeea5d73790f,0,0.350017856687341,"add ""Repository Properties"" button to query"
1395,1264,George.Lindholm,ekuleshov,11-19-2007 19:34:05,2.2,2007,11,19,f490260a-c0a8-0169-2a8c-eeea52f4aed9,1,0.0852056336165632,HTML2TextReader reader get stuck in infinite loop
1395,1261,George.Lindholm,robert.elves,11-19-2007 20:41:44,2.2,2007,11,19,f490700c-c0a8-0169-2a8c-eeea3e1caed7,1,0.0189406486118862,[web connector] html entities should be decoded
1395,1265,George.Lindholm,steffen.pingel,11-19-2007 20:41:44,2.2,2007,11,19,f490700c-c0a8-0169-2a8c-eeea3e1caed7,1,0.0512602569347713,[web connector] html entities should be decoded
1260,1260,mik.kersten,mik.kersten,11-19-2007 21:02:46,2.2,2007,11,19,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,0,0.99,group working sets by task repository in working set edit dialog
1265,1265,steffen.pingel,steffen.pingel,11-19-2007 21:09:29,2.2,2007,11,19,f491295b-c0a8-0169-2a8c-eeea257ccd26,0,0.99,outline does not update when clicking a comment
1265,1265,steffen.pingel,steffen.pingel,11-19-2007 21:22:43,2.2,2007,11,19,f491295b-c0a8-0169-2a8c-eeea257ccd26,1,0.99,outline does not update when clicking a comment
1264,1260,ekuleshov,mik.kersten,11-19-2007 21:31:25,2.2,2007,11,19,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,0,0.183838384795281,group working sets by task repository in working set edit dialog
