personA	personB	weight	release
68	68	246	2.1
25	28	1	2.1
143	275	22	2.1
54	304	5	2.1
84	84	1	2.1
133	304	7	2.1
131	391	3	2.1
143	1	1	2.1
150	28	1	2.1
304	266	5	2.1
168	317	1	2.1
304	112	32	2.1
188	267	7	2.1
159	310	28	2.1
178	319	17	2.1
143	164	166	2.1
181	143	18	2.1
304	396	10	2.1
267	396	12	2.1
304	188	26	2.1
267	45	17	2.1
293	293	1	2.1
241	241	2	2.1
205	205	3	2.1
248	150	1	2.1
373	220	31	2.1
373	226	68	2.1
317	317	1	2.1
373	34	37	2.1
287	116	9	2.1
399	283	3	2.1
399	84	4	2.1
373	371	1	2.1
396	399	2	2.1
373	203	9	2.1
396	143	5	2.1
451	399	7	2.1
458	240	4	2.1
34	373	5	2.1
24	373	2	2.1
68	132	3	2.1
25	48	1	2.1
143	288	6	2.1
54	399	16	2.1
102	102	3	2.1
133	373	2	2.1
141	304	1	2.1
143	10	25	2.1
150	48	1	2.1
304	267	17	2.1
172	304	2	2.1
304	116	31	2.1
194	194	18	2.1
159	325	60	2.1
178	361	1	2.1
143	188	20	2.1
181	181	49	2.1
304	410	54	2.1
267	399	8	2.1
304	194	8	2.1
267	143	40	2.1
299	299	1	2.1
241	304	5	2.1
212	143	185	2.1
266	173	2	2.1
373	241	14	2.1
319	399	42	2.1
373	48	1	2.1
287	240	12	2.1
399	339	1	2.1
399	102	7	2.1
373	442	9	2.1
410	304	84	2.1
373	212	170	2.1
396	188	6	2.1
463	304	146	2.1
458	304	3	2.1
34	399	1	2.1
24	399	15	2.1
68	143	129	2.1
25	88	3	2.1
143	302	1	2.1
60	373	1	2.1
104	104	1	2.1
143	282	3	2.1
148	304	15	2.1
143	24	80	2.1
150	88	3	2.1
304	268	4	2.1
173	319	38	2.1
304	120	2	2.1
195	195	11	2.1
159	344	11	2.1
178	399	1	2.1
143	195	5	2.1
185	25	1	2.1
304	430	8	2.1
275	304	18	2.1
304	195	15	2.1
267	188	29	2.1
299	304	1	2.1
241	373	7	2.1
212	203	45	2.1
282	457	3	2.1
287	458	3	2.1
373	248	9	2.1
328	308	3	2.1
373	60	2	2.1
319	25	7	2.1
399	410	16	2.1
399	104	3	2.1
373	443	4	2.1
410	391	8	2.1
410	10	2	2.1
463	399	335	2.1
458	369	1	2.1
68	304	224	2.1
25	217	2	2.1
68	159	2	2.1
25	143	6	2.1
143	333	9	2.1
84	399	1	2.1
112	112	7	2.1
143	284	51	2.1
150	217	2	2.1
143	25	1	2.1
150	143	7	2.1
304	275	14	2.1
173	373	84	2.1
304	122	14	2.1
212	463	3	2.1
159	373	2694	2.1
181	304	78	2.1
143	205	4	2.1
185	28	1	2.1
304	434	12	2.1
276	373	4	2.1
304	196	69	2.1
267	267	15	2.1
310	304	370	2.1
248	248	18	2.1
212	212	459	2.1
238	238	22	2.1
288	143	1	2.1
373	266	2	2.1
328	328	17	2.1
373	88	3	2.1
319	150	4	2.1
399	427	94	2.1
399	122	4	2.1
410	399	56	2.1
410	143	47	2.1
433	433	1	2.1
10	10	24	2.1
68	333	2	2.1
25	220	1	2.1
68	207	8	2.1
25	166	1	2.1
143	352	7	2.1
102	373	1	2.1
112	143	13	2.1
143	293	2	2.1
150	220	1	2.1
143	30	1	2.1
150	166	1	2.1
304	282	3	2.1
188	396	6	2.1
304	126	4	2.1
221	143	25	2.1
159	451	1	2.1
185	217	2	2.1
143	221	11	2.1
185	48	1	2.1
