b.source_id	c.target_id	weight	release
88	173	35212	2
143	45	6361	2.1
143	116	1397425	2.1
143	148	2341177	2.1
166	28	28	2
166	143	253736	2
166	173	28	2
171	463	8697	2
217	28	28285	2
217	48	27773	2
217	88	282	2
217	143	618070	2
217	166	28227	2
217	173	67	2
304	13	124807	2.1
304	14	26288	2.1
304	24	5968	2.1
304	25	1454408	2.1
304	30	32278	2.1
304	33	421162	2.1
304	45	1199012	2.1
304	54	446996	2.1
304	65	875184	2.1
304	89	8472655	2.1
304	108	353762	2.1
304	112	2553905	2.1
304	116	3601501	2.1
304	120	31287	2.1
304	122	1362491	2.1
304	126	291874	2.1
304	131	2137672	2.1
304	133	2310138	2.1
304	136	533674	2.1
304	141	1623989	2.1
304	148	4722920	2.1
304	150	1443470	2.1
304	168	4196	2.1
304	172	194368	2.1
304	178	1346366	2.1
304	181	12518589	2.1
304	185	2327924	2.1
304	188	2184442	2.1
304	194	9260	2.1
304	195	188051	2.1
304	196	12029141	2.1
304	205	57190	2.1
361	28	139544	2
361	48	139288	2
361	88	326553	2
361	143	1034236	2
361	166	139515	2
361	173	1018	2
373	10	313432	2.1
373	13	701048	2.1
373	14	166188	2.1
373	24	256415	2.1
373	25	39023	2.1
373	28	312501	2.1
373	34	1024758	2.1
373	48	312245	2.1
373	60	2902	2.1
373	88	845424	2.1
373	102	10008	2.1
373	122	1881400	2.1
373	132	4147102	2.1
373	133	3928749	2.1
373	134	407742	2.1
373	150	37467	2.1
373	164	1947261	2.1
373	166	312472	2.1
373	173	882172	2.1
373	178	23595	2.1
373	185	8609	2.1
373	195	260703	2.1
373	203	810589	2.1
373	212	6745950	2.1
403	42	3003	2
424	56	179414	2
457	34	71826	2.1
457	68	692776	2.1
463	463	9414330	2
35	241	12625385	2
35	304	8395103	2
35	373	2192967	2
56	304	47697643	2
88	217	99580	2
88	304	1411192	2
88	309	1422525	2
143	216	30949	2.1
143	275	174745	2.1
143	288	163118	2.1
143	302	48	2.1
143	333	293460	2.1
143	352	58445	2.1
143	396	60248	2.1
166	304	436154	2
166	309	443511	2
217	217	25902	2
217	304	900535	2
217	309	915251	2
304	216	6021548	2.1
304	219	632801	2.1
304	221	79697	2.1
304	236	285905	2.1
304	240	4731273	2.1
304	266	2147213	2.1
304	267	1019686	2.1
304	268	236452	2.1
304	275	173588	2.1
304	282	73264	2.1
304	283	318571	2.1
304	288	23638	2.1
304	293	114	2.1
304	299	12848	2.1
304	310	16945819	2.1
304	316	716541	2.1
304	317	4530	2.1
304	319	72833345	2.1
304	352	121431	2.1
304	367	1315624	2.1
304	395	8955566	2.1
304	396	893405	2.1
304	410	4146992	2.1
304	430	27686	2.1
304	434	209057	2.1
304	442	151499	2.1
304	443	281621	2.1
304	444	3256338	2.1
346	295	1581	2
346	304	13697	2
346	346	26948	2
346	391	539	2
346	399	13125	2
361	217	250803	2
361	304	688968	2
361	309	583027	2
373	217	596717	2.1
373	220	3475601	2.1
373	226	1482783	2.1
373	241	6049324	2.1
373	248	339488	2.1
373	266	91099	2.1
373	276	1524908	2.1
373	288	322029	2.1
373	293	165888	2.1
373	295	2500	2.1
373	308	403672	2.1
373	309	755984	2.1
373	310	9665939	2.1
373	328	150012	2.1
373	352	70637	2.1
373	361	172957	2.1
373	364	82177	2.1
373	367	5826619	2.1
373	371	19608	2.1
373	442	1944130	2.1
