"","node","closeness","n.closeness"
"1",4028,5.00600715589652e-05,6.18025574802039e-07
"2",4075,4.26982679322637e-05,5.27139110274861e-07
"3",4077,5.29556344542362e-05,6.53773264867113e-07
"4",4093,3.06963049370015e-05,3.78966727617302e-07
"5",4110,4.36222706266404e-05,5.38546550946178e-07
"6",4125,3.6896612765109e-05,4.55513737840852e-07
"7",4171,4.43651260642961e-05,5.4771760573205e-07
"8",4241,4.33182755443898e-05,5.34793525239381e-07
"9",4255,4.62975424851353e-05,5.71574598581917e-07
"10",4288,4.4391209785449e-05,5.48039626980852e-07
"11",4334,4.69319428280069e-05,5.79406701580332e-07
"12",4381,4.24016364316731e-05,5.23476992983619e-07
"13",4398,4.41154651921448e-05,5.44635372742528e-07
"14",4426,4.64567410173286e-05,5.73540012559612e-07
"15",4451,1.22270087014378e-05,1.50950724709109e-07
"16",4472,5.13554734645403e-05,6.3401819092025e-07
"17",4515,1.90197916390525e-05,2.34812242457439e-07
"18",4583,4.29258401036237e-05,5.29948643254614e-07
"19",4635,4.12401130052115e-05,5.09137197595204e-07
"20",4649,4.66280615837919e-05,5.75655081281382e-07
"21",4678,3.29980523352422e-05,4.07383362163483e-07
"22",4762,2.92727975822852e-05,3.61392562744261e-07
"23",4773,5.09149353020994e-05,6.28579448174067e-07
"24",4877,3.4320024396058e-05,4.23704004889605e-07
"25",4885,4.34632184117403e-05,5.36582943354818e-07
"26",5060,4.56127322477621e-05,5.63120151206939e-07
"27",5107,4.49534449674057e-05,5.54980802066737e-07
"28",5289,3.82873995556271e-05,4.72683945131199e-07
"29",5493,3.62888399379221e-05,4.48010369603976e-07
"30",5574,4.18888507909732e-05,5.17146306061397e-07
"31",5655,4.87211188167035e-05,6.01495294033376e-07
"32",5699,4.54270585962996e-05,5.60827883904933e-07
"33",5736,3.39161507128663e-05,4.18717910035387e-07
"34",5839,4.31236730667007e-05,5.32391025514823e-07
"35",6165,4.30680142343063e-05,5.3170387943588e-07
"36",6211,3.96784690903495e-05,4.89857643090734e-07
"37",6214,3.66994488171081e-05,4.53079615026026e-07
"38",6259,4.50924374335054e-05,5.56696758438339e-07
"39",6294,4.78740692915007e-05,5.91037892487663e-07
"40",6312,3.10443250490595e-05,3.83263272210611e-07
"41",6383,3.40486619373309e-05,4.20353851078159e-07
"42",6399,3.33307746657578e-05,4.11491045256269e-07
"43",6486,4.13922474792512e-05,5.1101540097841e-07
"44",6607,4.56692594659168e-05,5.63818018097739e-07
"45",6664,3.31175555627076e-05,4.08858710650712e-07
"46",6713,3.86595571433188e-05,4.77278483250849e-07
"47",6759,4.27000874407376e-05,5.2716157334244e-07
"48",6846,3.40900221906785e-05,4.20864471489858e-07
"49",7128,2.11165283077025e-05,2.60697880342007e-07
"50",7141,4.88199257843503e-05,6.02715133140127e-07
"51",7151,3.81299597711899e-05,4.70740244088764e-07
"52",7336,2.36682219117111e-05,2.92200270514951e-07
"53",7358,4.06272289598543e-05,5.01570727899435e-07
"54",7549,5.42544428828704e-05,6.6980793682556e-07
"55",7793,4.70675591382382e-05,5.81080977015286e-07
"56",7982,1.22993197524428e-05,1.51843453733861e-07
"57",8010,4.32781233682654e-05,5.34297819361302e-07
"58",8294,4.49217422798957e-05,5.5458941086291e-07
"59",8333,4.27251850051131e-05,5.27471419816211e-07
"60",8515,3.73250781308361e-05,4.60803433714026e-07
"61",8723,4.27170620014195e-05,5.27371135819994e-07
"62",8783,4.48989464803424e-05,5.54307981238794e-07
"63",9081,5.35209929791758e-05,6.60752999742911e-07
"64",9128,5.03164239939764e-05,6.21190419678721e-07
"65",9213,4.87402713603623e-05,6.01731745189658e-07
"66",9480,4.31520838488669e-05,5.32741775911937e-07
"67",10002,5.1461978950255e-05,6.35333073459939e-07
"68",10126,4.32375916622866e-05,5.33797427929465e-07
"69",10162,4.38525630234525e-05,5.41389666956203e-07
"70",10239,4.36203201982546e-05,5.3852247158339e-07
"71",10648,2.93413989738782e-05,3.62239493504669e-07
"72",10785,4.25683918953217e-05,5.25535702411379e-07
"73",11109,4.93981680042181e-05,6.09853925978001e-07
"74",11251,4.37103239077855e-05,5.39633628491179e-07
"75",11279,4.28818975302901e-05,5.2940614234926e-07
"76",11434,2.35638472303922e-05,2.90911694202373e-07
"77",11463,4.21364748376855e-05,5.20203393057846e-07
"78",12738,4.49890134077859e-05,5.55419918614641e-07
"79",12981,3.48768228398017e-05,4.30578059750638e-07
"80",13347,4.30576105209479e-05,5.31575438530222e-07
"81",13493,5.06037199153263e-05,6.24737282905263e-07
"82",14647,4.2628010153873e-05,5.26271730294729e-07
