"","node","closeness","n.closeness"
"1",3977,1.13834179762124e-05,2.56383287752532e-08
"2",3998,1.06118028188226e-05,2.39004567991501e-08
"3",4006,1.01339786254389e-05,2.2824276183421e-08
"4",4008,3.5710440373066e-06,8.04289197591576e-09
"5",4014,9.33351943506678e-06,2.10214401690693e-08
"6",4023,2.11976066395448e-06,4.77423572962721e-09
"7",4025,1.14120151319413e-05,2.57027367836516e-08
"8",4028,1.1395508093231e-05,2.56655587685383e-08
"9",4029,1.11334636842159e-05,2.5075368658144e-08
"10",4033,1.03489709332025e-05,2.33084930927983e-08
"11",4036,1.11601619970256e-05,2.51354999933008e-08
"12",4077,8.85833906870771e-06,1.99512141187111e-08
"13",4096,7.46702670903766e-06,1.68176277230578e-08
"14",4100,1.09504629646884e-05,2.46632048754244e-08
"15",4114,5.59956587280173e-06,1.26116348486526e-08
"16",4125,1.01967373370188e-05,2.29656246329252e-08
"17",4139,1.02813186879713e-05,2.31561231711065e-08
"18",4156,1.07785945947372e-05,2.42761139521108e-08
"19",4167,1.00887618006505e-05,2.27224364879515e-08
"20",4210,1.15993028302814e-05,2.61245559240572e-08
"21",4217,1.07948997899424e-05,2.4312837364735e-08
"22",4219,1.15057432613224e-05,2.59138361741496e-08
"23",4220,1.12402515433477e-05,2.53158818543868e-08
"24",4230,1.10063136597089e-05,2.47889947290741e-08
"25",4232,9.26291249056807e-06,2.08624155192974e-08
"26",4273,1.14451269582167e-05,2.57773129689565e-08
"27",4278,1.1293364536301e-05,2.54355057123896e-08
"28",4283,1.18123107407418e-05,2.66043034701391e-08
"29",4305,8.52941559262415e-06,1.92103954788832e-08
"30",4317,9.57279976033002e-06,2.15603598205631e-08
"31",4325,8.02476499259311e-06,1.80737950283629e-08
"32",4329,9.76986678359248e-06,2.20042044675506e-08
"33",4346,1.04351393500615e-05,2.35025661037421e-08
"34",4390,1.05450175544061e-05,2.37500395369508e-08
"35",4401,9.84119382945952e-06,2.21648509672512e-08
"36",4408,1.15692141791223e-05,2.60567886917168e-08
"37",4440,9.92564566386875e-06,2.23550578015062e-08
"38",4467,1.08399547413413e-05,2.44143124804983e-08
"39",4474,1.11744595840855e-05,2.51677017659582e-08
"40",4517,8.00970606058714e-06,1.80398785148359e-08
"41",4533,1.13874743631482e-05,2.56474647818654e-08
"42",4551,1.1317698467977e-05,2.54903118648131e-08
"43",4563,3.45898559801422e-06,7.79050810363563e-09
"44",4569,4.66907242935068e-06,1.0515928894934e-08
"45",4570,7.27958229442678e-06,1.63954556180783e-08
"46",4590,7.48268644975729e-06,1.68528974093633e-08
"47",4606,9.83829581134289e-06,2.21583238994209e-08
"48",4608,1.15305920173128e-05,2.59698018407945e-08
"49",4626,7.80469764491446e-06,1.75781478489064e-08
"50",4670,8.94465206190251e-06,2.01456127520327e-08
"51",4684,9.26536459454134e-06,2.0867938275994e-08
"52",4685,1.16087681891261e-05,2.61458742998336e-08
"53",4717,1.03641669932047e-05,2.33427184531637e-08
"54",4766,8.36252048340355e-06,1.88345055932512e-08
"55",4769,3.99858872303722e-06,9.00583045729104e-09
"56",4779,1.07917615658294e-05,2.43057692924085e-08
"57",4839,1.04299763329207e-05,2.34909376867583e-08
"58",4872,1.09368518952122e-05,2.46325493135411e-08
"59",4877,5.06224586889128e-06,1.1401454659665e-08
"60",4896,8.26097442040108e-06,1.86057982441466e-08
"61",4912,1.13734128732682e-05,2.56157947596131e-08
"62",4961,1.11697273620376e-05,2.51570436081928e-08
"63",4969,8.4996607435595e-06,1.91433800530619e-08
"64",4978,8.52135284357071e-06,1.91922361341683e-08
"65",4989,1.11449658089791e-05,2.51012743445476e-08
"66",4995,1.11320247642666e-05,2.50721278474473e-08
"67",5005,1.13087364068022e-05,2.54701270423473e-08
"68",5016,1.09238156684949e-05,2.4603188442556e-08
"69",5023,9.46346577455369e-06,2.13141121048506e-08
"70",5029,1.16851376805283e-05,2.63178776588474e-08
"71",5034,1.0437124947195e-05,2.35070381693581e-08
"72",5039,8.70199519361031e-06,1.95990882738971e-08
"73",5052,1.01068517997891e-05,2.27631797292548e-08
"74",5054,1.07110529154512e-05,2.41239930528179e-08
"75",5068,1.04395956698484e-05,2.35126028600189e-08
"76",5079,1.10841579891012e-05,2.4964319795273e-08
"77",5085,9.66874772590134e-06,2.17764588421201e-08
"78",5097,3.65597801605438e-06,8.23418472084321e-09
"79",5123,1.16838128176466e-05,2.63148937334383e-08
"80",5130,1.06729986167573e-05,2.40382851728768e-08
"81",5143,7.56190266522205e-06,1.70313123090587e-08
"82",5148,1.07718757301699e-05,2.42609813742564e-08
"83",5159,1.03187603719959e-05,2.3240451288279e-08
"84",5184,8.61000048198345e-06,1.93918929774402e-08
"85",5192,1.11314178338264e-05,2.50707608869964e-08
"86",5231,4.12298205593249e-06,9.28599562146957e-09
"87",5244,9.24458236432392e-06,2.082113145118e-08
"88",5267,9.20825430688593e-06,2.07393115019953e-08
"89",5322,8.95758799606389e-06,2.01747477388826e-08
"90",5333,1.13986000797278e-05,2.56725227020895e-08
"91",5360,1.04983659981831e-05,2.36449684643763e-08
"92",5384,1.11045211522819e-05,2.50101827754096e-08
"93",5393,6.60090760327753e-06,1.48669090163908e-08
"94",5404,1.11064116664206e-05,2.50144406901366e-08
"95",5432,9.87142578318196e-06,2.22329409531125e-08
"96",5455,1.04994458042562e-05,2.36474004600364e-08
"97",5457,1.04596517009313e-05,2.35577741011966e-08
"98",5514,1.07972996173085e-05,2.43182423813255e-08
"99",5520,1.14231060748403e-05,2.57277163847754e-08
"100",5597,6.13997492479763e-06,1.38287723531478e-08
"101",5606,3.57222538522748e-06,8.04555266943126e-09
"102",5635,1.04226521620674e-05,2.34744418064581e-08
"103",5650,8.95433577940875e-06,2.01674229265963e-08
"104",5761,8.2763414216008e-06,1.8640408607209e-08
"105",5777,9.60076749538487e-06,2.16233502148308e-08
"106",5860,1.10214313253778e-05,2.48230435256258e-08
"107",5876,1.01433673614487e-05,2.28454219852448e-08
"108",5907,1.09594324444645e-05,2.46834064064516e-08
"109",5928,7.30131949814637e-06,1.64444132841134e-08
"110",5944,1.12920343493336e-05,2.54325097957965e-08
"111",5954,1.10101056798489e-05,2.47975353149749e-08
"112",6000,8.57215716660949e-06,1.93066602851565e-08
"113",6020,1.13971153979827e-05,2.56691788242853e-08
"114",6064,1.16497629042443e-05,2.62382047392889e-08
"115",6099,1.12637353966405e-05,2.53687734158569e-08
"116",6101,9.88419628380364e-06,2.22617033419001e-08
"117",6112,1.1130271589207e-05,2.50681792549708e-08
"118",6158,1.0243043728318e-05,2.30699183070224e-08
"119",6188,1.11226136011418e-05,2.50509315341033e-08
"120",6196,1.03376757932304e-05,2.32830535883568e-08
"121",6212,1.01834199139953e-05,2.29356304369265e-08
"122",6236,1.08031503727933e-05,2.43314197585435e-08
"123",6255,1.09469401804028e-05,2.46552706765828e-08
"124",6259,1.05292165841188e-05,2.37144517660334e-08
"125",6269,1.14960494884321e-05,2.58920033523245e-08
"126",6272,3.34543164068889e-06,7.5347559474975e-09
"127",6286,1.05340756917862e-05,2.37253957022211e-08
"128",6375,1.0404866305153e-05,2.34343835701645e-08
"129",6385,9.37286810196796e-06,2.11100632927206e-08
"130",6404,4.46741891883492e-06,1.00617543217003e-08
"131",6415,1.04021077206225e-05,2.34281705419426e-08
"132",6423,9.33421471497866e-06,2.10230061148168e-08
"133",6461,1.10960720678807e-05,2.49911533060377e-08
"134",6467,1.15205433355186e-05,2.59471696745914e-08
"135",6470,5.97243242572807e-06,1.34514243822704e-08
"136",6494,9.73795556434387e-06,2.19323323521258e-08
"137",6542,1.07442254089629e-05,2.41987058760425e-08
"138",6562,1.27266193086936e-06,2.86635570015621e-09
"139",6590,1.17068263378277e-05,2.63667259860985e-08
"140",6602,5.4511251171024e-06,1.22773088223027e-08
"141",6640,1.06527241784583e-05,2.39926220235548e-08
"142",6660,1.12611813448516e-05,2.5363021046963e-08
"143",6668,1.00540311247933e-05,2.264421424503e-08
"144",6729,1.09657873959463e-05,2.46977193602395e-08
"145",6794,9.35330701981285e-06,2.10660068013803e-08
"146",6795,1.02416638856024e-05,2.30668105531586e-08
"147",6835,4.71941035077055e-06,1.06293025918256e-08
"148",6846,1.06824505499923e-05,2.40595733107935e-08
"149",6872,1.13520291566542e-05,2.55676332357076e-08
"150",6918,9.27637996142268e-06,2.08927476608619e-08
"151",6955,1.06197246004724e-05,2.39182986497127e-08
"152",6958,1.15166442689181e-05,2.59383879930589e-08
"153",6959,1.15032582742194e-05,2.59082393563499e-08
"154",7038,5.07410231206277e-06,1.14281583605017e-08
"155",7058,1.02364815442337e-05,2.3055138613139e-08
"156",7080,1.16897961879009e-05,2.63283697925696e-08
"157",7101,6.1086972422828e-06,1.37583271222586e-08
"158",7151,1.09780713295526e-05,2.47253858773707e-08
"159",7154,1.10525671527238e-05,2.48931692628913e-08
"160",7169,1.13984469062484e-05,2.56721777167757e-08
"161",7180,4.56310619300913e-06,1.0277266200471e-08
"162",7204,1.14056871375684e-05,2.56884845440729e-08
"163",7218,4.60832095897915e-06,1.0379101258962e-08
"164",7220,8.79541550534922e-06,1.98094943814172e-08
"165",7232,8.39256043782505e-06,1.89021631482546e-08
"166",7243,8.1971829808872e-06,1.8462123830827e-08
"167",7267,1.14548064195652e-05,2.57991135575793e-08
"168",7319,8.98979838179582e-06,2.02472936526933e-08
"169",7325,6.40974026673371e-06,1.4436351952103e-08
"170",7332,1.01104294794099e-05,2.27712375662385e-08
"171",7363,9.44382451923868e-06,2.12698750433304e-08
"172",7367,6.77069408527005e-06,1.52493110028605e-08
"173",7387,1.15026221968907e-05,2.59068067497538e-08
"174",7420,1.12957481129516e-05,2.54408741282694e-08
"175",7438,8.52534609921169e-06,1.92012299531795e-08
"176",7452,1.27948860596889e-07,2.88173109452453e-10
"177",7456,3.63170427994874e-06,8.17951414402869e-09
"178",7459,9.32669741814321e-06,2.10060752660883e-08
"179",7527,9.64093957590451e-06,2.17138278736588e-08
"180",7561,6.38903966159773e-06,1.43897289675625e-08
"181",7577,5.75252706383317e-06,1.29561420356603e-08
"182",7585,1.05271355269507e-05,2.37097647003394e-08
"183",7601,1.00004168891903e-05,2.25234614621403e-08
"184",7620,1.06203690695552e-05,2.3919750156656e-08
"185",7650,1.14104560970566e-05,2.56992254438212e-08
"186",7657,1.1397869472304e-05,2.56708771898739e-08
"187",7663,7.80799197420488e-06,1.75855675094705e-08
"188",7725,1.14835246048549e-05,2.58637941550787e-08
"189",7743,1.12892824533222e-05,2.54263118318068e-08
"190",7766,1.02917511330432e-05,2.31796196690162e-08
"191",7787,1.02654085490469e-05,2.31202895248805e-08
"192",7820,1.15469192620755e-05,2.60065749145844e-08
"193",7821,9.79468155883266e-06,2.20600936009745e-08
"194",7823,1.09316466807674e-05,2.46208258575843e-08
"195",7824,1.11912470403148e-05,2.52055113520605e-08
"196",7825,1.04053573052282e-05,2.34354894261897e-08
"197",7826,1.12605717104555e-05,2.53616479965215e-08
"198",7827,1.11755356259837e-05,2.51701252837472e-08
"199",7828,1.13789651710425e-05,2.56282999347805e-08
"200",7829,1.09789786918416e-05,2.47274294861297e-08
"201",7831,9.15325702475789e-06,2.06154437494547e-08
"202",7833,8.00717548132846e-06,1.8034179012001e-08
"203",7834,1.13207664788547e-05,2.54972217992224e-08
"204",7835,5.32928473736876e-06,1.20028935526323e-08
"205",7836,9.28347236403496e-06,2.09087215406193e-08
"206",7837,7.98142675325312e-06,1.79761863812007e-08
"207",7838,9.72501954695128e-06,2.19031971778182e-08
"208",7839,1.1237055204888e-05,2.5308682893892e-08
"209",7840,1.10808493249904e-05,2.49568678490775e-08
"210",7841,5.34195814651285e-06,1.20314372669208e-08
"211",7842,1.16639857993864e-05,2.62702382869064e-08
"212",7847,7.71133991310097e-06,1.73678826871643e-08
"213",7849,9.16389308382763e-06,2.06393988374496e-08
"214",7850,9.80441966890916e-06,2.20820262813269e-08
"215",7881,5.6243523303487e-06,1.26674602034881e-08
"216",7886,1.09072052691374e-05,2.45657776331924e-08
"217",7943,1.06949167567315e-05,2.40876503529989e-08
"218",7978,1.05999372009079e-05,2.38737324344772e-08
"219",8025,3.60250485886124e-06,8.11374968211991e-09
"220",8030,8.26609041004212e-06,1.86173207433381e-08
"221",8063,1.14700245311509e-05,2.58333885836732e-08
"222",8072,8.54709691039249e-06,1.92502182666497e-08
"223",8129,1.04259916259123e-05,2.34819631214241e-08
"224",8291,5.07473291954118e-06,1.14295786476153e-08
"225",8298,5.46474555840225e-06,1.23079854918969e-08
"226",8354,6.69949260663614e-06,1.50889473122436e-08
"227",8416,4.20179148108855e-06,9.463494326776e-09
"228",8430,1.08798014310125e-05,2.45040572770551e-08
"229",8455,8.17316143046757e-06,1.84080212397918e-08
"230",8529,1.12975537691947e-05,2.54449409216096e-08
"231",8530,9.7692867360656e-06,2.20028980542018e-08
"232",8546,1.1453604502096e-05,2.57964065362523e-08
"233",8572,9.41510596239023e-06,2.1205193608987e-08
"234",8684,5.41112220689055e-06,1.21872121776814e-08
"235",8809,9.29601996589812e-06,2.09369819051759e-08
"236",8872,1.11911675024198e-05,2.52053322126573e-08
