"","node","degree","output"
"1",4027,1,15.4919338226318
"2",4028,3,6.62524032592773
"3",4080,10,9.47774988412857
"4",4097,3,5.90139633417129
"5",4121,4,11.2312121391296
"6",4122,1,15.4919338226318
"7",4147,2,5.58378124237061
"8",4157,1,10.9544515609741
"9",4167,1,1.65144562721252
"10",4183,1,8.9442720413208
"11",4185,1,4.14039325714111
"12",4195,1,1.55699789524078
"13",4216,1,6.92820310592651
"14",4221,1,1.05409252643585
"15",4234,4,7.16823434829712
"16",4245,1,3.03821802139282
"17",4259,1,0.495630860328674
"18",4276,1,2.48069477081299
"19",4305,1,2.41943359375
"20",4308,2,6.29241704940796
"21",4340,1,1.5894387960434
"22",4346,2,11.8271827697754
"23",4362,1,1.72132587432861
"24",4427,1,1.87867283821106
"25",4446,1,2.6186146736145
"26",4455,1,5.47722578048706
"27",4464,1,3.46410155296326
"28",4474,1,3.87298345565796
"29",4482,1,2.1081850528717
"30",4503,1,4.67099380493164
"31",4540,1,4.89897966384888
"32",4545,2,0.949849188327789
"33",4591,1,4.67099380493164
"34",4608,1,2.1081850528717
"35",4619,1,6.92820310592651
"36",4635,1,1.74297869205475
"37",4654,1,1.40835762023926
"38",4670,1,0.578556835651398
"39",4671,1,1.24837553501129
"40",4691,1,2.41943359375
"41",4694,9,31.6031209230423
"42",4706,1,1.5894387960434
"43",4708,1,0.846414744853973
"44",4733,4,8.94001859426498
"45",4738,1,3.30289125442505
"46",4746,1,0.342410206794739
"47",4790,1,3.65148377418518
"48",4803,1,1.32842230796814
"49",4822,1,2.14834451675415
"50",4824,1,0.386815100908279
"51",4872,2,6.21774065494538
"52",4874,1,1.51910901069641
"53",4878,1,2.54685807228088
"54",4886,1,2.54685807228088
"55",4888,1,8.9442720413208
"56",4900,1,3.65148377418518
"57",4915,1,1.25244855880737
"58",4916,1,8.9442720413208
"59",4956,1,1.40257370471954
"60",4959,1,2.82842707633972
"61",4969,1,1.90692520141602
"62",4989,2,7.17896580696106
"63",4996,1,15.4919338226318
