"","i","j","w"
"1",3977,10811,0.115808308124542
"2",3981,4080,0.556846022605896
"3",3981,6660,1.28653502464294
"4",3981,9188,1.42614805698395
"5",3988,7417,0.200990632176399
"6",3988,7677,3.75734567642212
"7",3995,13256,3.46410155296326
"8",3995,17003,1.40257370471954
"9",3998,4673,3.87298345565796
"10",4000,6443,2.21313333511353
"11",4000,13967,1.56492161750793
"12",4006,4029,8.9442720413208
"13",4006,7664,3.87298345565796
"14",4006,10806,1.92153787612915
"15",4008,4217,2.87677979469299
"16",4008,5493,0.834057629108429
"17",4008,16849,1.07159948348999
"18",4014,4694,0.258342444896698
"19",4015,6620,1.19880175590515
"20",4021,4080,1.07159948348999
"21",4026,5650,2.01687788963318
"22",4027,3988,3.38061690330505
"23",4027,4673,1.08465230464935
"24",4027,5166,2.07019662857056
"25",4027,6020,4.14039325714111
"26",4028,5377,1.50470960140228
"27",4028,13727,1.8650096654892
"28",4029,11819,4.89897966384888
"29",4044,4306,1.56492161750793
"30",4045,7611,2.16930460929871
"31",4049,6020,8.9442720413208
"32",4058,9750,4.89897966384888
"33",4062,5889,2.69679951667786
"34",4067,4904,1.01058232784271
"35",4074,5330,6.32455539703369
"36",4075,6366,1.96747756004333
"37",4075,18130,2.01687788963318
"38",4077,4065,1.4446302652359
"39",4077,4167,3.16227769851685
"40",4077,5705,0.985728085041046
"41",4077,5729,4.4721360206604
"42",4077,9870,3.16227769851685
"43",4077,11948,1.65144562721252
"44",4077,11949,4.2966890335083
"45",4077,15771,15.4919338226318
"46",4077,16962,2.08893179893494
"47",4079,7002,0.571428596973419
"48",4080,4008,0.86333167552948
"49",4080,4208,0.200401201844215
"50",4080,4633,1.09602628648281
"51",4080,4887,2.51312351226807
"52",4080,5159,1.15150630474091
"53",4080,5513,0.611417829990387
"54",4080,6087,0.929144442081451
"55",4080,6153,1.8650096654892
"56",4080,6158,1.01491034030914
"57",4080,7561,1.2324720621109
"58",4080,10009,1.20604538917542
"59",4080,15379,0.151214584708214
