"","node","closeness","n.closeness"
"1",3978,8.98378062997663e-05,1.30199719275024e-06
"2",4029,7.83075356375039e-05,1.13489182083339e-06
"3",4037,8.12968463341602e-05,1.17821516426319e-06
"4",4045,9.15436189324627e-05,1.32671911496323e-06
"5",4077,8.92707384379166e-05,1.29377881794082e-06
"6",4118,3.99481196983835e-05,5.78958256498312e-07
"7",4160,8.55087654850609e-05,1.23925747079798e-06
"8",4217,5.76264367020307e-05,8.35165749304793e-07
"9",4306,7.75871609042167e-05,1.12445160730749e-06
"10",4310,8.02572748264608e-05,1.16314891052842e-06
"11",4416,8.28136293177979e-05,1.2001975263449e-06
"12",4551,8.33847125468707e-05,1.20847409488218e-06
"13",4589,8.44724983512491e-05,1.22423910653984e-06
"14",4606,9.39804961974637e-05,1.36203617677484e-06
"15",4768,4.94927333949472e-05,7.17285991231118e-07
"16",4879,8.65531413074769e-05,1.25439335228227e-06
"17",5005,8.62392480986269e-05,1.24984417534242e-06
"18",5045,6.13416670812424e-05,8.89009667844093e-07
"19",5046,2.65518996019905e-05,3.84810139159283e-07
"20",5266,8.0143028726629e-05,1.16149316995114e-06
"21",5310,8.11228837691331e-05,1.1756939676686e-06
"22",5324,7.58175912601321e-05,1.0988056704367e-06
"23",5476,8.53923708614468e-05,1.23757059219488e-06
"24",5777,8.70349006137714e-05,1.26137537121408e-06
"25",5977,8.19757302574258e-05,1.18805406170182e-06
"26",6002,9.24413162701221e-05,1.33972922130612e-06
"27",6101,9.10359622615043e-05,1.31936177190586e-06
"28",6167,2.95230125732791e-05,4.27869747438827e-07
"29",6172,6.79190410721909e-05,9.84333928582476e-07
"30",6320,6.53225155507736e-05,9.46703123924255e-07
"31",6355,6.64513693939461e-05,9.63063324549943e-07
"32",6555,4.11909311471047e-05,5.96970016624706e-07
"33",6582,6.51538763890511e-05,9.4425907810219e-07
"34",6647,8.8445159163367e-05,1.28181390091836e-06
"35",6742,9.08307150452818e-05,1.3163871745693e-06
"36",6767,2.02071039247671e-05,2.92856578619814e-07
"37",6825,4.04588602436668e-05,5.86360293386476e-07
"38",6843,6.68876164897389e-05,9.693857462281e-07
"39",6987,2.59129523938833e-05,3.75550034693961e-07
"40",7150,8.97154460497164e-05,1.30022385579299e-06
"41",7316,5.04164744172487e-05,7.30673542278967e-07
"42",7459,4.00710876751066e-05,5.80740401088501e-07
"43",7572,4.12407692736509e-05,5.97692308313781e-07
"44",7667,2.85942977024445e-05,4.1441011162963e-07
"45",8937,6.67655820596201e-05,9.67617131298842e-07
"46",9164,5.66269619538276e-05,8.20680608026487e-07
"47",9170,8.94762802204309e-05,1.29675768435407e-06
"48",9241,4.14620057877334e-05,6.00898634604832e-07
"49",9295,8.19782815147899e-05,1.18809103644623e-06
"50",9890,8.08718946055133e-05,1.17205644355816e-06
"51",10187,6.56127159160039e-05,9.50908926318898e-07
"52",10680,8.8485555250993e-05,1.28239935146367e-06
"53",10773,7.56956124698124e-05,1.09703786188134e-06
"54",11079,9.03863812601298e-05,1.30994755449464e-06
"55",11860,2.81296019201802e-05,4.07675390147539e-07
"56",12102,8.49474683759007e-05,1.23112273008552e-06
"57",12596,8.37486178902116e-05,1.21374808536539e-06
"58",12661,6.56951688744129e-05,9.52103896730622e-07
"59",12927,8.97444761783195e-05,1.30064458229449e-06
"60",13181,7.69160525509073e-05,1.11472539928851e-06
"61",13216,5.69503353293286e-05,8.25367178685922e-07
"62",14025,8.53143978243786e-05,1.2364405481794e-06
"63",14758,6.35376087409556e-05,9.20834909289211e-07
"64",15032,8.1454178612145e-05,1.180495342205e-06
"65",15399,8.65514353575483e-05,1.25436862837026e-06
"66",15641,8.99635721501905e-05,1.30381988623465e-06
"67",16057,8.48123885171857e-05,1.22916505097371e-06
"68",16193,4.58746171472148e-05,6.64849523872679e-07
"69",16795,9.01868275706152e-05,1.3070554720379e-06
"70",17613,4.0088402621117e-05,5.80991342335029e-07
