"","node","degree","output"
"1",3981,1,0.241737067699432
"2",4071,1,15.4919338226318
"3",4075,0,0
"4",4127,1,1.30005419254303
"5",4176,4,4.40603366494179
"6",4562,2,4.87007123231888
"7",4658,2,2.94036066532135
"8",4748,1,0.149375781416893
"9",4986,1,0.30940580368042
"10",5223,1,0.432001382112503
"11",5303,1,4.2966890335083
"12",5635,1,2.16930460929871
"13",5751,1,1.72132587432861
"14",6313,2,1.93770956993103
"15",6567,1,0.957094848155975
"16",6759,1,2.54685807228088
"17",6860,1,4.2966890335083
"18",6962,1,0.884171366691589
"19",7027,1,0.793675780296326
"20",7208,1,0.196194753050804
"21",7264,1,0.374743908643723
"22",7303,1,1.05900681018829
"23",7366,1,0.847680866718292
"24",7720,1,1.41421353816986
"25",7721,1,1.09544515609741
"26",7798,1,0.606246173381805
"27",7873,1,1.66090965270996
"28",7921,1,0.766964972019196
"29",8031,1,0.240684509277344
"30",8434,1,0.696310639381409
"31",8439,1,0.690751194953918
"32",8599,1,0.96636027097702
"33",9289,1,0.341826230287552
"34",9292,1,1.12986540794373
"35",9484,1,1.03741657733917
"36",9572,1,0.375734567642212
"37",9676,2,3.78243327140808
"38",9813,1,0.475382685661316
"39",9879,1,2.2360680103302
"40",10104,1,1.90692520141602
"41",10158,1,0.603480041027069
"42",10689,1,1.1359236240387
"43",10954,1,1.67053818702698
"44",11097,1,1.4446302652359
"45",11117,1,0.146838024258614
"46",11384,1,1.08732056617737
"47",11904,1,0.981761395931244
"48",12234,1,1.56492161750793
"49",12239,1,2.07019662857056
"50",12244,1,0.941067934036255
"51",12333,1,0.126188606023788
"52",12539,1,3.16227769851685
"53",12616,1,0.228939265012741
"54",12844,1,0.650027096271515
"55",13173,1,1.34332096576691
"56",13460,1,0.832851469516754
"57",13520,1,0.133531302213669
"58",13548,1,0.835269093513489
"59",13877,1,0.114745616912842
"60",13885,1,1.17782986164093
"61",14160,1,0.55865341424942
"62",14413,1,2.54685807228088
"63",14491,1,2.12798070907593
"64",14503,1,1.26071560382843
"65",14977,1,2.58198881149292
"66",15197,1,0.754135489463806
"67",15316,1,1.09819400310516
"68",15331,1,0.226673468947411
"69",15338,1,0.894427180290222
"70",15742,1,1.2324720621109
"71",15913,1,1.73205077648163
"72",16972,1,0.96636027097702
"73",17250,1,0.58595871925354
"74",17315,1,0.44190576672554
"75",17482,1,5.16397762298584
"76",18100,1,1.05654108524323
"77",18136,1,0.49715980887413
