"","i","j","w"
"1",3999,6088,1.10940039157867
"2",4068,12245,4.89897966384888
"3",4072,12612,6.92820310592651
"4",4122,4275,1.54919338226318
"5",4125,4332,0.422419995069504
"6",4167,6543,0.451370298862457
"7",4176,4571,0.856705844402313
"8",4184,7619,0.851513683795929
"9",4217,4283,2.07019662857056
"10",4275,10582,3.38061690330505
"11",4283,4167,0.997923135757446
"12",4323,5057,2.51312351226807
"13",4323,7778,15.4919338226318
"14",4323,7956,5.85540056228638
"15",4330,8547,2.28416085243225
"16",4332,4336,0.468378514051437
"17",4332,17037,0.650027096271515
"18",4336,4956,0.471186429262161
"19",4375,4323,3.23029136657715
"20",4375,10898,1.56492161750793
"21",4377,8745,3.09838676452637
"22",4408,4448,1.51185786724091
"23",4408,8037,0.142687365412712
"24",4448,5004,0.415526002645493
"25",4467,4694,2.82842707633972
"26",4563,5205,1.20604538917542
"27",4571,4332,0.662387251853943
"28",4694,13351,1.85164022445679
"29",4694,14323,0.826898217201233
"30",4708,10213,10.9544515609741
"31",4764,4125,0.586798846721649
"32",4856,9565,0.754135489463806
"33",4862,9180,0.601203620433807
"34",4884,10141,0.721531271934509
"35",4956,7668,0.622673392295837
"36",4956,11094,0.463738888502121
"37",4966,7013,1.50470960140228
"38",4966,10318,3.65148377418518
"39",4983,17857,1.80090069770813
"40",4995,5368,4.2966890335083
"41",5004,6235,0.608580589294434
"42",5057,11443,2.48069477081299
"43",5113,11253,1.43222975730896
"44",5130,8920,10.9544515609741
"45",5205,7113,1.42614805698395
"46",5239,10656,0.289936274290085
"47",5267,7446,10.9544515609741
"48",5309,4072,6.32455539703369
"49",5368,5267,4.89897966384888
"50",5369,8749,6.92820310592651
"51",5379,4408,0.398673295974731
"52",5401,4330,2.65684461593628
"53",5422,6088,2.6186146736145
"54",5581,9640,15.4919338226318
"55",5843,4862,0.851513683795929
"56",5953,5379,2.2360680103302
"57",6088,3999,1.03509831428528
"58",6088,4467,2.28416085243225
"59",6088,6595,3.46410155296326
"60",6088,8036,0.667904675006866
"61",6143,5130,3.55409336090088
"62",6192,4884,1.90692520141602
"63",6196,11253,1.06148982048035
"64",6235,4856,0.467311829328537
"65",6245,8454,8.9442720413208
"66",6376,7218,0.67806351184845
"67",6422,13063,2.51312351226807
"68",6543,13082,1.85164022445679
"69",6578,10355,0.432337701320648
"70",6582,6422,3.65148377418518
"71",6595,6088,1.22474491596222
"72",6732,7732,15.4919338226318
"73",6803,6582,4.4721360206604
"74",6818,9640,10.9544515609741
"75",7013,10978,5.47722578048706
"76",7113,13053,1.63299310207367
"77",7180,10510,1.54919338226318
"78",7218,9006,0.909717679023743
"79",7234,7317,0.204071000218391
"80",7317,10510,1.04446589946747
"81",7377,6143,6.92820310592651
"82",7446,16439,4.4721360206604
"83",7450,8111,0.208855211734772
"84",7463,7619,1.10096371173859
"85",7588,5369,2.12798070907593
"86",7619,4983,1.69030845165253
"87",7619,11253,0.61285138130188
"88",7668,5843,0.638876557350159
"89",7732,15207,3.55409336090088
"90",7778,6803,15.4919338226318
"91",7792,6376,1.4201432466507
"92",7951,17644,0.875655829906464
"93",7956,10625,3.16227769851685
"94",8034,10953,1.11513376235962
"95",8035,7588,2.2360680103302
"96",8036,8040,2.51312351226807
"97",8037,6192,0.556128025054932
"98",8037,6578,0.272840023040771
"99",8040,6196,0.762308180332184
"100",8111,7234,0.498186975717545
"101",8298,10249,3.30289125442505
"102",8547,13064,4.4721360206604
"103",8745,4764,0.213160336017609
"104",8749,5309,3.38061690330505
"105",8860,9329,0.053706981241703
"106",8920,6732,6.32455539703369
"107",9005,5239,0.184101924300194
"108",9006,12606,2.51312351226807
"109",9180,9565,1.21716129779816
"110",9314,8035,15.4919338226318
"111",9329,12787,0.0774277225136757
"112",9371,4708,5.47722578048706
"113",9565,4323,1.65144562721252
"114",9565,8034,0.705638229846954
"115",9565,12458,1.67053818702698
"116",9640,4323,2.69679951667786
"117",9640,6818,7.74596691131592
"118",10141,6088,0.891460597515106
"119",10213,15632,5.85540056228638
"120",10249,5581,4.67099380493164
"121",10260,17643,5.16397762298584
"122",10281,7450,0.900450348854065
"123",10318,6245,10.9544515609741
"124",10355,5953,0.351003259420395
"125",10355,10281,0.288675129413605
"126",10510,7180,4.2966890335083
"127",10510,9005,0.120197273790836
"128",10582,4375,1.78885436058044
"129",10625,14598,4.67099380493164
"130",10656,10355,0.265919208526611
"131",10898,4966,3.30289125442505
"132",10953,4377,1.05900681018829
"133",10978,11395,2.54685807228088
"134",11094,7792,1.28212153911591
"135",11253,4184,1.12390291690826
"136",11253,4217,0.699141144752502
"137",11253,16446,0.973969519138336
"138",11395,9565,2.25973081588745
"139",11443,9314,2.12798070907593
"140",12245,4995,5.47722578048706
"141",12458,4176,0.72231513261795
"142",12458,4694,0.935901939868927
"143",12606,4956,0.632983207702637
"144",12612,10260,3.65148377418518
"145",12787,4408,0.0888289362192154
"146",13053,5422,0.852802872657776
"147",13063,4375,4.4721360206604
"148",13064,7951,1.15470051765442
"149",13082,5401,0.666666686534882
"150",13351,4122,2.36249780654907
"151",14323,12458,1.05409252643585
"152",14598,15993,3.30289125442505
"153",15207,16460,4.14039325714111
"154",15632,4068,8.9442720413208
"155",15993,7377,7.74596691131592
"156",16439,4966,3.46410155296326
"157",16446,8037,0.69985419511795
"158",16460,9371,6.92820310592651
"159",17037,5113,0.589767813682556
"160",17643,8298,6.32455539703369
"161",17644,7463,0.924171268939972
"162",17857,4563,1.27342903614044
