"","node","degree","output"
"1",3978,2,1.02088512480259
"2",3980,1,0.977842152118683
"3",3981,3,0.92751869559288
"4",3987,6,19.6649393737316
"5",3990,3,11.6308465003967
"6",3993,5,4.08621254563332
"7",3997,1,1.33829915523529
"8",3998,1,5.85540056228638
"9",4000,1,0.466041386127472
"10",4002,1,2.07019662857056
"11",4003,2,7.72041022777558
"12",4006,1,0.443532764911652
"13",4008,1,0.359791368246078
"14",4011,3,1.66712020337582
"15",4016,3,10.6196241080761
"16",4017,3,8.87912732362747
"17",4018,1,15.4919338226318
"18",4019,1,0.649455606937408
"19",4022,3,9.51993280649185
"20",4023,2,11.8753514289856
"21",4027,4,11.5974881649017
"22",4028,27,71.7060297727584
"23",4029,10,74.6850821077822
"24",4030,2,2.85846871137619
"25",4036,7,14.9245452135801
"26",4038,1,2.41943359375
"27",4043,4,3.39706867933273
"28",4045,1,8.9442720413208
"29",4047,5,16.1891011595726
"30",4050,1,15.4919338226318
"31",4054,1,1.10656666755676
"32",4057,1,0.374853610992432
"33",4060,1,1.5894387960434
"34",4063,2,1.6933676302433
"35",4064,1,0.720749974250793
"36",4065,2,7.31841325759888
"37",4066,2,21.3473343849182
"38",4067,6,11.5579326450825
"39",4068,1,2.48069477081299
"40",4071,1,15.4919338226318
"41",4073,3,13.6603014469147
"42",4075,14,31.5608343333006
"43",4077,66,228.332621112466
"44",4079,2,0.628972545266151
"45",4080,2,1.01499956846237
"46",4081,1,5.47722578048706
"47",4082,1,10.9544515609741
"48",4083,2,2.46426755189896
"49",4084,1,1.21342182159424
"50",4085,2,1.11187088489533
"51",4086,11,27.2739096879959
"52",4087,11,20.0297037959099
"53",4090,12,21.7901200950146
"54",4093,9,31.7574254870415
"55",4095,2,3.40034186840057
"56",4096,7,4.73601921647786
"57",4097,12,18.4628343507648
"58",4098,3,14.7826163768768
"59",4101,4,2.53140741586685
"60",4102,3,2.08066463470459
"61",4103,1,3.16227769851685
"62",4105,10,26.0701214671135
"63",4106,1,0.721531271934509
"64",4108,1,1.36930644512177
"65",4109,26,62.27048432827
"66",4110,3,8.17665147781372
"67",4112,1,2.69679951667786
"68",4113,10,38.1602723002434
"69",4114,1,0.131301715970039
"70",4117,1,3.55409336090088
"71",4118,3,3.293661236763
"72",4119,1,0.610942184925079
"73",4120,12,32.5638934969902
"74",4121,13,24.0637757182121
"75",4122,5,25.2665810585022
"76",4123,2,3.08710050582886
"77",4125,8,4.06288039684295
"78",4126,2,9.18793392181396
"79",4127,7,17.082206517458
"80",4128,1,1.21342182159424
"81",4129,2,3.84653100371361
"82",4130,3,20.1432248353958
"83",4132,1,1.45735847949982
"84",4134,6,20.4993008375167
"85",4136,1,2.21313333511353
"86",4137,2,15.6254453659057
"87",4139,7,12.3944660276175
"88",4140,1,7.74596691131592
"89",4141,2,13.3169493675232
"90",4144,1,4.2966890335083
"91",4146,1,1.71079778671265
"92",4147,5,14.5876521170139
"93",4148,3,5.24465036392212
"94",4149,4,15.9323394298553
"95",4151,3,2.81507370620966
"96",4154,2,17.6199145317077
"97",4155,1,0.323592394590378
"98",4156,2,3.75633192062377
"99",4157,25,71.9015467762947
"100",4161,2,2.45399725437164
"101",4163,1,15.4919338226318
"102",4167,13,18.738982707262
"103",4168,1,0.386574178934097
"104",4170,4,6.37206029891967
"105",4171,5,8.77683901786803
"106",4172,2,13.6112961769104
"107",4175,1,0.549788117408752
"108",4176,7,10.263572126627
"109",4181,1,2.2360680103302
"110",4182,9,19.1783707141876
"111",4185,22,39.8592743426561
"112",4192,1,1.14519667625427
"113",4193,1,0.239131137728691
"114",4194,4,4.937581717968
"115",4195,12,43.0217568408697
"116",4196,1,0.0957917720079422
"117",4199,3,9.26280623674393
"118",4200,1,1.59787094593048
"119",4201,18,18.9998265504837
"120",4203,3,5.43278324604034
"121",4204,4,7.78954654932022
"122",4207,3,8.64596468210221
"123",4214,1,0.399866729974747
"124",4215,2,9.47722578048706
"125",4216,6,19.2288196086883
"126",4217,2,2.74891036748887
"127",4219,1,15.4919338226318
"128",4220,2,10.3279557228088
"129",4221,6,3.65547753870487
"130",4226,4,16.3949368000031
"131",4228,1,2.03419041633606
"132",4229,2,3.17276751995087
"133",4233,1,0.337981224060059
"134",4234,5,3.22540044784545
"135",4235,1,0.581401884555817
"136",4236,1,1.64214169979095
"137",4241,2,1.73573914170265
"138",4244,1,0.503154575824738
"139",4246,1,1.85164022445679
"140",4249,1,1.93649172782898
"141",4255,5,4.83735585212708
"142",4258,1,2.58198881149292
"143",4259,1,0.593652188777924
"144",4262,1,2.69679951667786
"145",4263,1,2.78243327140808
"146",4265,1,1.8131936788559
"147",4267,1,2.14834451675415
"148",4268,2,5.89374041557312
"149",4269,1,0.613331496715546
"150",4270,2,7.76226073503494
"151",4273,1,4
"152",4274,1,2.58198881149292
"153",4277,2,0.179110441356897
"154",4281,5,8.63884121179581
"155",4283,38,47.8053293786943
"156",4285,4,12.3154225349426
"157",4286,1,0.658189177513123
"158",4288,3,9.35158985853195
"159",4289,1,3.75734567642212
"160",4292,1,4.14039325714111
"161",4293,3,11.4449261724949
"162",4297,1,1.28212153911591
"163",4299,1,0.623681724071503
"164",4300,1,7.74596691131592
"165",4301,2,4.86997795104981
"166",4302,4,4.26136827468872
"167",4303,1,0.553283333778381
"168",4305,3,13.0474328994751
"169",4306,2,7.75070345401764
"170",4307,1,0.273009449243546
"171",4308,7,22.2606595158577
"172",4312,3,2.78763386607171
"173",4313,1,3.16227769851685
"174",4317,11,46.0407257154584
"175",4318,1,2.51312351226807
"176",4319,0,0
"177",4320,3,11.0572674274445
"178",4322,1,2.36249780654907
"179",4323,1,0.370222270488739
"180",4324,2,10.9544515609741
"181",4325,4,16.0849969089031
"182",4326,5,10.4379150271416
"183",4327,1,1.35873246192932
"184",4329,8,11.872945189476
"185",4330,16,54.3830816745758
"186",4331,1,3.09838676452637
"187",4332,3,2.80361628532409
"188",4334,3,3.5861856341362
"189",4336,1,0.29803204536438
"190",4337,1,1.40257370471954
"191",4338,1,1.26914858818054
"192",4339,1,0.670401513576508
"193",4342,1,15.4919338226318
"194",4343,2,9.30597925186157
"195",4345,1,2.44948983192444
"196",4346,1,2.19089031219482
"197",4348,1,0.190982103347778
"198",4352,1,4.89897966384888
"199",4354,1,1.4201432466507
"200",4356,1,2.28416085243225
"201",4362,9,11.4001840651035
"202",4365,1,6.32455539703369
"203",4367,1,1.8650096654892
"204",4369,1,5.47722578048706
"205",4370,1,3.38061690330505
"206",4371,1,10.9544515609741
"207",4372,1,0.225065067410469
"208",4374,3,7.05929139256477
"209",4375,5,9.81947323679925
"210",4377,1,0.84895271062851
"211",4378,1,1.71079778671265
"212",4380,2,1.74755880236626
"213",4381,1,3.38061690330505
"214",4388,2,1.16364517807961
"215",4389,1,1.58113884925842
"216",4391,1,3.09838676452637
