"","node","betweenness"
"1",3987,540
"2",3998,324
"3",4028,2805
"4",4119,614
"5",4147,197
"6",4167,634
"7",4170,965
"8",4176,680
"9",4199,1614
"10",4283,594
"11",4330,580
"12",4456,1244
"13",4482,1582
"14",4569,612
"15",4694,604
"16",4800,70
"17",4866,582
"18",4936,358
"19",4951,149
"20",5007,328
"21",5062,84
"22",5242,530
"23",5346,2261
"24",5399,929
"25",5456,166
"26",5458,1548
"27",5484,246
"28",5547,0
"29",5705,664
"30",5717,750
"31",5742,1655
"32",5752,2536
"33",5934,684
"34",6111,876
"35",6129,1214
"36",6470,592
"37",6556,644
"38",6694,674
"39",6780,1544
"40",6819,552
"41",7031,80
"42",7183,853
"43",7323,1029
"44",7415,572
"45",7503,348
"46",7749,474
"47",8061,2323
"48",8244,166
"49",8390,616
"50",8473,570
"51",9153,562
"52",9219,246
"53",9381,84
"54",9680,560
"55",9788,480
"56",10133,2511
"57",10513,460
"58",11361,955
"59",11430,936
"60",11577,602
"61",12262,684
"62",12266,863
"63",12330,470
"64",12357,843
"65",12500,139
"66",12745,0
"67",12782,400
"68",12850,873
"69",12860,654
"70",12870,159
"71",12935,624
"72",12954,584
"73",13007,550
"74",13156,546
"75",13633,1635
"76",13998,1224
"77",14078,972
"78",14106,0
"79",14128,1234
"80",14168,318
"81",15443,542
"82",16609,187
"83",16739,1645
"84",16937,814
"85",17124,532
"86",17311,338
