"","node","closeness","n.closeness"
"1",4085,6.73687027467272e-05,1.16152935770219e-06
"2",4086,7.32038391165931e-05,1.26213515718264e-06
"3",4098,7.43845541086281e-05,1.28249231221773e-06
"4",4136,6.14499766952313e-05,1.05948235681433e-06
"5",4285,7.13325315694892e-05,1.22987123395671e-06
"6",4308,7.30084203062358e-05,1.25876586734889e-06
"7",4370,7.35060009310636e-05,1.26734484363903e-06
"8",4533,6.99353711772753e-05,1.20578226167716e-06
"9",4542,7.02371263304313e-05,1.21098493673157e-06
"10",4597,7.24321528877504e-05,1.24883022220259e-06
"11",4666,6.63897850782145e-05,1.14465146686577e-06
"12",4705,7.22237513142789e-05,1.2452370916255e-06
"13",4748,6.70706782293315e-05,1.15639100395399e-06
"14",4856,5.42631850322753e-05,9.35572155728885e-07
"15",4859,7.42739877373136e-05,1.28058599547092e-06
"16",4885,7.44834595561715e-05,1.28419757855468e-06
"17",4957,6.86971120018553e-05,1.18443296554923e-06
"18",5007,6.35885326943215e-05,1.09635401197106e-06
"19",5017,7.27210082716893e-05,1.25381048744292e-06
"20",5236,7.35484995570434e-05,1.26807757856971e-06
"21",5493,2.38324432013289e-05,4.1090419312636e-07
"22",5549,7.35823980595951e-05,1.26866203551026e-06
"23",5839,6.83692339353123e-05,1.17877989543642e-06
"24",6290,6.24133710120213e-05,1.07609260365554e-06
"25",6725,7.36959309427914e-05,1.27061949901364e-06
"26",6744,6.31882351735647e-05,1.0894523305787e-06
"27",6825,4.95026009484018e-05,8.53493119800031e-07
"28",6947,7.154871843145e-05,1.23359859364569e-06
"29",6954,7.27535677849676e-05,1.25437185836151e-06
"30",7133,7.22092962435129e-05,1.24498786626746e-06
"31",7446,6.65755532460628e-05,1.14785436631143e-06
"32",7803,6.07111968962246e-05,1.04674477407284e-06
"33",7819,5.58914171216961e-05,9.63645122787863e-07
"34",7837,6.60413510179148e-05,1.1386439830675e-06
"35",8090,7.16370900564457e-05,1.23512224235251e-06
"36",8447,6.87448849866433e-05,1.18525663770075e-06
"37",8657,5.32858997935882e-05,9.18722410234279e-07
"38",8835,5.91948305906025e-05,1.02060052742418e-06
"39",8844,7.29830549282048e-05,1.25832853324491e-06
"40",9108,6.0090671256987e-05,1.03604605615495e-06
"41",9419,6.04730074571499e-05,1.04263805960603e-06
"42",9438,4.6968301455563e-05,8.09798300957984e-07
"43",9474,7.46583131368317e-05,1.28721229546261e-06
"44",9588,7.04604798567418e-05,1.214835859599e-06
"45",9657,6.60152673064487e-05,1.13819426390429e-06
"46",9823,6.52885107911091e-05,1.12566397915705e-06
"47",9961,6.20320268546384e-05,1.06951770439032e-06
"48",9963,5.51619188801347e-05,9.51067566898874e-07
"49",10762,6.12728587403069e-05,1.05642859897081e-06
"50",10835,5.5849571117766e-05,9.62923639961483e-07
"51",11670,7.40857115381529e-05,1.27733985410608e-06
"52",12634,7.41822721988801e-05,1.27900469308414e-06
"53",12950,7.2496867007285e-05,1.24994598288422e-06
"54",12957,7.35946091760757e-05,1.2688725720013e-06
"55",12985,6.84999943576183e-05,1.18103438547618e-06
"56",13507,6.73053748738485e-05,1.16043749782497e-06
"57",14456,7.38960786251947e-05,1.27407032112405e-06
"58",14940,7.20776708965566e-05,1.24271846373373e-06
"59",15455,7.00008392818307e-05,1.20691102210053e-06
