"","node","betweenness"
"1",4128,400
"2",4234,300
"3",4425,470
"4",4562,297
"5",4566,41
"6",4580,630
"7",4581,550
"8",4608,450
"9",4630,93
"10",4639,80
"11",4641,780
"12",4677,520
"13",4960,540
"14",5267,640
"15",5313,490
"16",6214,510
"17",6268,600
"18",6269,430
"19",6859,530
"20",6991,420
"21",7133,225
"22",7193,500
"23",7499,341
"24",7552,440
"25",8619,650
"26",8641,480
"27",8984,126
"28",9159,320
"29",9279,0
"30",9381,590
"31",9752,27
"32",10070,0
"33",10590,610
"34",10845,360
"35",11642,580
"36",11729,620
"37",11886,560
"38",11964,192
"39",13176,159
"40",14424,460
"41",15527,60
"42",17224,410
"43",17867,570
