"","node","betweenness"
"1",3977,12065
"2",3979,11409
"3",3981,27994
"4",3983,27649
"5",3987,53804
"6",3990,81047
"7",3992,12018
"8",4003,5866
"9",4008,1934
"10",4014,3875
"11",4015,154552
"12",4017,3867
"13",4022,20253
"14",4023,10966
"15",4027,195949
"16",4028,209930
"17",4029,7770
"18",4036,126132
"19",4038,11516
"20",4041,2771
"21",4047,5689
"22",4049,11601
"23",4057,0
"24",4059,49208
"25",4063,1938
"26",4066,68558
"27",4067,74770
"28",4069,17350
"29",4071,15443
"30",4072,21321
"31",4073,26280
"32",4075,3896
"33",4077,972326
"34",4079,30960
"35",4081,17846
"36",4082,2944
"37",4086,332241
"38",4087,3890
"39",4090,2144
"40",4091,5808
"41",4092,9889
"42",4093,11098
"43",4096,9880
"44",4097,54162
"45",4100,7760
"46",4101,1938
"47",4102,23280
"48",4105,17157
"49",4109,561134
"50",4113,21404
"51",4114,51171
"52",4115,8427
"53",4120,13429
"54",4121,89622
"55",4122,68616
"56",4124,6959
"57",4125,16799
"58",4127,126024
"59",4130,13547
"60",4134,15735
"61",4137,3618
"62",4144,117435
"63",4149,29846
"64",4151,3871
"65",4157,10337
"66",4159,96544
"67",4161,7730
"68",4162,9708
"69",4166,1934
"70",4167,69456
"71",4170,57566
"72",4172,18731
"73",4175,4350
"74",4182,80226
"75",4185,275023
"76",4186,5926
"77",4188,13521
"78",4189,86258
"79",4192,0
"80",4194,5811
"81",4196,6162
"82",4201,152129
"83",4202,14027
"84",4205,17354
"85",4206,0
"86",4207,3867
"87",4213,9680
"88",4216,26753
"89",4217,340800
"90",4220,51011
"91",4222,5807
"92",4229,5811
"93",4234,37212
"94",4236,2770
"95",4240,2416
"96",4242,4600
"97",4244,9216
"98",4247,10562
"99",4255,3871
"100",4260,33514
"101",4262,28468
"102",4263,189712
"103",4264,4663
"104",4265,1934
"105",4266,34470
"106",4267,15296
"107",4268,45696
"108",4274,17586
"109",4276,0
"110",4277,3925
"111",4278,9975
"112",4279,3867
"113",4280,9413
"114",4281,140639
"115",4282,21030
"116",4283,314767
"117",4285,11381
"118",4288,28605
"119",4289,7926
"120",4293,263278
"121",4296,436
"122",4297,11597
"123",4300,27001
"124",4301,7739
"125",4302,5803
