"","node","betweenness"
"1",3987,3869
"2",4090,545
"3",4121,137
"4",4130,276
"5",4175,0
"6",4232,3587
"7",4242,540
"8",4329,623
"9",4355,140
"10",4375,551
"11",4455,54
"12",4542,411
"13",4550,678
"14",4563,620
"15",4569,543
"16",4583,284
"17",4633,1217
"18",4655,626
"19",4678,1191
"20",4779,959
"21",4951,944
"22",5002,140
"23",5048,408
"24",5126,0
"25",5159,140
"26",5235,1164
"27",5258,880
"28",5374,947
"29",5404,143
"30",5432,140
"31",5508,1360
"32",5561,411
"33",5594,869
"34",5608,140
"35",5669,545
"36",5761,0
"37",5777,0
"38",5839,684
"39",5892,140
"40",5898,1934
"41",5985,423
"42",6020,137
"43",6101,548
"44",6131,584
"45",6166,414
"46",6196,284
"47",6413,137
"48",6714,417
"49",6727,548
"50",6729,0
"51",6830,198
"52",6839,137
"53",7000,617
"54",7028,141
"55",7039,4185
"56",7084,1654
"57",7151,0
"58",7632,0
"59",7636,144
"60",7650,1597
"61",7762,1116
"62",7881,2003
"63",7941,542
"64",8093,554
"65",8189,681
"66",8350,1314
"67",8636,524
"68",8936,3275
"69",8978,1161
"70",9076,540
"71",9115,3538
"72",9150,0
"73",9824,461
"74",9890,3919
"75",10056,0
"76",10071,273
"77",10217,0
"78",10426,816
"79",10596,950
"80",10714,279
"81",11853,279
"82",12089,279
"83",12150,0
"84",12293,207
"85",12328,0
"86",12441,743
"87",13126,208
"88",13322,695
"89",14715,143
"90",15092,279
"91",15159,0
"92",15571,265
"93",15999,542
"94",16473,953
"95",16942,3575
"96",17433,137
"97",17920,0
"98",18099,1868
"99",18189,956
"100",18206,9455
"101",18221,553
"102",18239,137
"103",18247,1098
"104",18271,276
"105",18272,2237
"106",18274,0
"107",18277,0
"108",18310,549
"109",18345,581
"110",18346,209
"111",18381,130
"112",18389,276
"113",18392,2140
"114",18397,10851
"115",18412,614
"116",18434,0
"117",18435,326
"118",18495,2234
"119",18497,273
"120",18526,675
"121",18589,2231
"122",18624,2143
"123",18629,137
"124",18687,560
"125",18688,938
"126",18703,140
"127",18704,554
"128",18730,1317
"129",18745,2021
"130",18780,408
"131",18786,414
"132",18787,417
"133",18843,1194
"134",18863,137
"135",18916,546
"136",18919,2137
"137",19023,273
"138",19026,2146
"139",19049,941
"140",19099,690
"141",19117,1095
"142",19148,212
"143",19149,279
"144",19157,551
"145",19162,687
