"","node","betweenness"
"360",6355,8122
"361",6378,1150
"362",6389,0
"363",6396,8031
"364",6406,1150
"365",6410,1506
"366",6412,1517
"367",6416,6836
"368",6422,6884
"369",6424,1149
"370",6462,8027
"371",6463,0
"372",6464,166523
"373",6466,19162
"374",6470,3449
"375",6473,67520
"376",6474,21209
"377",6478,2288
"378",6481,8482
"379",6484,53208
"380",6488,21803
"381",6495,30609
"382",6510,0
"383",6513,1259
"384",6523,0
"385",6543,69382
"386",6561,1150
"387",6565,3438
"388",6567,1157
"389",6579,3643
"390",6586,9451
"391",6587,2299
"392",6590,26463
"393",6593,6109
"394",6597,0
"395",6605,0
"396",6619,0
"397",6629,17807
"398",6631,9150
"399",6635,0
"400",6639,0
"401",6643,7160
"402",6645,1159
"403",6646,3446
"404",6649,15444
"405",6651,6068
"406",6655,47653
"407",6657,6105
"408",6661,1000
"409",6662,4591
"410",6674,4281
"411",6675,6450
"412",6677,2298
"413",6680,0
"414",6694,28898
"415",6697,2309
"416",6711,1149
"417",6713,24691
"418",6714,19771
"419",6718,9888
"420",6719,0
"421",6731,10393
"422",6734,28163
"423",6735,0
"424",6738,10299
"425",6754,1242
"426",6759,2517
"427",6765,0
"428",6780,0
"429",6799,39753
"430",6811,8677
"431",6812,0
"432",6819,5736
"433",6836,2298
"434",6851,79460
"435",6892,2591
"436",6908,56319
"437",6954,81967
"438",6983,10783
"439",6985,5739
"440",7011,179
"441",7013,0
"442",7022,15879
"443",7024,1151
"444",7028,11386
"445",7031,2299
"446",7038,0
"447",7043,1156
"448",7057,15126
"449",7059,3679
"450",7060,26372
"451",7061,17709
"452",7066,1149
"453",7068,2957
"454",7073,12635
"455",7075,6293
"456",7076,2299
"457",7097,12731
"458",7105,2302
"459",7113,13726
"460",7118,3779
"461",7128,1149
"462",7133,12602
"463",7135,2303
"464",7140,3447
"465",7141,6184
"466",7144,1150
"467",7154,10007
"468",7168,8028
"469",7176,1150
"470",7179,6547
"471",7187,90376
"472",7197,174
"473",7199,5498
"474",7200,1150
"475",7234,2606
"476",7239,1150
"477",7254,1500
"478",7257,5724
"479",7263,5723
"480",7269,2773
"481",7303,3456
"482",7332,5735
"483",7334,0
"484",7337,10534
"485",7354,6066
"486",7357,1892
"487",7361,38929
"488",7365,2655
"489",7372,6959
"490",7387,0
"491",7393,2299
"492",7394,12349
"493",7412,5134
"494",7419,5396
"495",7425,20422
"496",7476,6536
"497",7477,4158
"498",7479,2299
"499",7499,17222
"500",7504,1150
"501",7513,2299
"502",7514,3742
"503",7517,14046
"504",7539,0
"505",7548,0
"506",7552,10813
"507",7559,1254
"508",7569,2298
"509",7583,5737
"510",7601,3446
"511",7602,13192
"512",7608,1164
"513",7612,4447
"514",7615,5172
"515",7629,2297
"516",7643,0
"517",7644,1462
"518",7659,1150
"519",7700,4190
"520",7719,3447
"521",7740,1149
"522",7745,0
"523",7759,11662
"524",7762,2739
"525",7782,1149
"526",7788,5772
"527",7791,26811
"528",7798,0
"529",7800,1149
"530",7815,12685
"531",7826,2299
"532",7829,1150
"533",7832,15484
"534",7856,13747
"535",7878,12505
"536",7886,0
"537",7901,165219
"538",7909,20941
"539",7911,4522
"540",7913,1150
"541",7923,24319
"542",7929,9162
"543",7943,2311
"544",7944,75929
"545",7945,2297
"546",7951,4445
"547",7975,6051
"548",7976,2068
"549",7983,5724
"550",7985,4832
"551",7989,8040
"552",7995,5023
"553",8006,1150
