"","node","closeness","n.closeness"
"1",4003,5.03537117026092e-05,2.03861180982223e-07
"2",4036,5.27330239253862e-05,2.13494023989418e-07
"3",4065,5.47462100069822e-05,2.21644574927054e-07
"4",4073,3.83548304850195e-05,1.55282714514249e-07
"5",4075,5.01142185793617e-05,2.02891573195796e-07
"6",4077,5.30347063810765e-05,2.14715410449702e-07
"7",4080,4.82558663688836e-05,1.95367880035966e-07
"8",4085,2.7692114000895e-05,1.12113821865972e-07
"9",4086,3.77428968330154e-05,1.52805250336095e-07
"10",4109,5.61691437752748e-05,2.27405440385728e-07
"11",4113,5.46010353978702e-05,2.21056823473159e-07
"12",4121,4.92869388987332e-05,1.99542262747908e-07
"13",4130,3.82541894312842e-05,1.54875260855402e-07
"14",4139,5.12868819939873e-05,2.07639198356224e-07
"15",4144,4.92928144589933e-05,1.99566050441268e-07
"16",4146,4.96427165772638e-05,2.00982658207546e-07
"17",4149,5.0724119858439e-05,2.05360809143478e-07
"18",4165,5.44004537318727e-05,2.20244751950902e-07
"19",4170,5.20618423137319e-05,2.10776689529279e-07
"20",4176,4.49178391359218e-05,1.81853599740574e-07
"21",4199,5.50119385990389e-05,2.22720399186392e-07
"22",4201,4.01407289240037e-05,1.62513072566817e-07
"23",4217,5.31333952274982e-05,2.15114960435215e-07
"24",4236,5.25368275615845e-05,2.12699706727063e-07
"25",4247,3.56397886152386e-05,1.44290642166958e-07
"26",4277,4.18509930054998e-05,1.69437218645748e-07
"27",4289,2.82848481668699e-05,1.14513555331457e-07
"28",4290,4.78377856515765e-05,1.93675245552941e-07
"29",4308,5.47293975243084e-05,2.2157650819558e-07
"30",4317,4.02713167795353e-05,1.630417683382e-07
"31",4329,5.51578378476167e-05,2.23311084403306e-07
"32",4330,5.49715641602267e-05,2.22556939919946e-07
"33",4347,5.52956373391139e-05,2.23868977081433e-07
"34",4362,2.78789901537436e-05,1.12870405480743e-07
"35",4370,1.1679936639071e-05,4.72871928707328e-08
"36",4374,3.22215791003941e-05,1.30451737248559e-07
"37",4375,2.21573485264994e-05,8.97058644797547e-08
"38",4385,3.48299993733895e-05,1.41012143212103e-07
"39",4391,4.24799890716524e-05,1.71983761423694e-07
"40",4402,4.10794034448417e-05,1.66313374270614e-07
"41",4417,5.44726998308496e-05,2.20537246278743e-07
"42",4426,4.91774305761649e-05,1.99098909215243e-07
"43",4446,5.06031840188701e-05,2.04871190359798e-07
"44",4448,3.63716787160576e-05,1.47253759984039e-07
"45",4513,5.47920622980323e-05,2.21830211732924e-07
"46",4519,5.46307592816206e-05,2.21177163083484e-07
"47",4521,4.32621177473269e-05,1.75150274280676e-07
"48",4573,1.35910299526758e-05,5.50244127638696e-08
"49",4606,5.44159962689979e-05,2.20307677202421e-07
"50",4611,3.02428136477204e-05,1.22440541083888e-07
"51",4633,5.12756876481025e-05,2.07593877117824e-07
"52",4670,3.60099496444235e-05,1.4578926981548e-07
"53",4680,5.14758874278141e-05,2.08404402541757e-07
"54",4687,1.82613751314038e-05,7.39326928396913e-08
"55",4730,4.52545187523576e-05,1.83216675110759e-07
"56",4834,5.18596695618635e-05,2.0995817636382e-07
"57",4866,3.28906852635162e-05,1.33160669083062e-07
"58",4889,2.70989661330013e-05,1.09712413493932e-07
"59",4895,4.98404359606206e-05,2.01783141540974e-07
"60",4896,3.15027233848424e-05,1.27541390222034e-07
"61",4901,4.08527482775874e-05,1.65395742014524e-07
"62",4905,5.45114820726718e-05,2.2069425940353e-07
"63",4924,2.71168814909062e-05,1.09784945307313e-07
"64",4935,2.78191134356309e-05,1.12627989617939e-07
"65",4950,5.29605226874342e-05,2.14415071609046e-07
"66",4956,5.31995747466721e-05,2.15382893711223e-07
"67",4957,5.24283711006173e-05,2.1226061174339e-07
"68",4972,5.27866150545787e-05,2.13710992123801e-07
"69",5009,5.32947568161294e-05,2.15768246219147e-07
"70",5036,3.43090579319223e-05,1.38903068550293e-07
"71",5051,3.24879263242945e-05,1.31530066090261e-07
"72",5055,4.16303276198874e-05,1.68543836517763e-07
"73",5062,4.94243346649156e-05,2.0009852091059e-07
"74",5146,5.24808115700447e-05,2.12472921336214e-07
"75",5169,5.23991349699355e-05,2.12142246841844e-07
"76",5193,5.49958403247047e-05,2.22655223986659e-07
"77",5208,5.40598852202604e-05,2.18865932065832e-07
"78",5210,5.4002832643239e-05,2.18634949972628e-07
"79",5239,3.77734260886325e-05,1.52928850561265e-07
"80",5313,4.32100320273246e-05,1.74939400920342e-07
"81",5324,2.76504071744749e-05,1.11944968317712e-07
"82",5399,3.68640880760552e-05,1.49247320145972e-07
"83",5402,5.2758863155684e-05,2.1359863625783e-07
"84",5461,5.57805453308173e-05,2.25832167331244e-07
"85",5488,5.46642736551464e-05,2.21312848806261e-07
"86",5490,3.88741268918483e-05,1.57385129116795e-07
"87",5513,5.50429912344694e-05,2.22846118358176e-07
"88",5516,5.12256267728437e-05,2.07391201509489e-07
"89",5630,5.34123510553396e-05,2.16244336256436e-07
"90",5662,2.75691803436754e-06,1.11616114751722e-08
"91",5779,4.47062712571736e-05,1.80997049624185e-07
"92",5789,5.4947601703056e-05,2.22459925923304e-07
"93",5794,2.6959443795702e-05,1.09147545731587e-07
"94",5802,5.35726371390217e-05,2.16893267769319e-07
"95",5806,5.40827966812909e-05,2.18958691017372e-07
"96",5818,1.17532612027729e-05,4.75840534525218e-08
"97",5890,2.77527112055875e-05,1.12359154678492e-07
"98",5985,5.46004585497098e-05,2.21054488055505e-07
