"","i","j","w"
"1",3981,4655,3.38061690330505
"2",4028,8172,2.14834451675415
"3",4101,5456,3.30289125442505
"4",4101,6000,2.1081850528717
"5",4101,6491,4.67099380493164
"6",4125,4638,0.12453868240118
"7",4187,4989,0.034746166318655
"8",4247,11374,0.468378514051437
"9",4330,6214,0.711568057537079
"10",4466,4125,0.42753654718399
"11",4466,13298,0.719194948673248
"12",4561,4638,0.283315300941467
"13",4631,5193,0.84895271062851
"14",4631,7976,0.360961437225342
"15",4632,4683,2.87677979469299
"16",4638,4631,0.197401523590088
"17",4638,6825,0.929144442081451
"18",4642,5294,2.33549690246582
"19",4655,9009,1.31400859355927
"20",4676,11215,1.51185786724091
"21",4683,4101,1.52646553516388
"22",4684,8312,1.58113884925842
"23",4710,9161,1.41421353816986
"24",4989,17869,0.222199365496635
"25",5193,18252,1.51185786724091
"26",5294,4684,0.905048429965973
"27",5337,6648,1.10375452041626
"28",5456,4101,1.09000861644745
"29",5728,6312,3.09838676452637
"30",6000,5728,1.66090965270996
"31",6214,9503,1.47709786891937
"32",6290,4101,1.41421353816986
"33",6299,4330,0.271537691354752
"34",6312,18911,1.36398863792419
"35",6491,4028,1.48385810852051
"36",6648,10378,2.16930460929871
"37",6825,4561,0.219110935926437
"38",7068,8865,0.231480851769447
"39",7562,7068,0.285617142915726
"40",7976,8168,0.30168280005455
"41",8168,4247,0.408816486597061
"42",8172,18622,1.58113884925842
"43",8312,9603,1.45095252990723
"44",8865,12443,0.307996213436127
"45",9009,4631,0.949871361255646
"46",9161,4676,1.08200359344482
"47",9315,13761,0.21928645670414
"48",9503,4466,0.414632081985474
"49",9603,4710,3.38061690330505
"50",10781,9315,0.286445945501328
"51",11215,6290,8.9442720413208
"52",11374,6299,0.911290168762207
"53",12443,10781,0.281439006328583
"54",13298,4642,1.54150497913361
"55",13761,4466,0.246901035308838
"56",17869,7562,0.411258071660995
"57",18252,4632,1.35873246192932
"58",18622,3981,2.28416085243225
"59",18911,5337,6.32455539703369
