"","i","j","w"
"1",4073,5659,0.579771041870117
"2",4077,6524,8.9442720413208
"3",4080,4876,0.244338884949684
"4",4080,12435,0.026717483997345
"5",4134,5092,1.75411605834961
"6",4167,17264,0.530123054981232
"7",4234,12656,0.891460597515106
"8",4274,15619,1.33333337306976
"9",4276,14061,2.16930460929871
"10",4293,5817,6.92820310592651
"11",4308,7119,1.67053818702698
"12",4308,11338,2.33549690246582
"13",4323,14117,4.14039325714111
"14",4359,4678,15.4919338226318
"15",4359,4979,6.32455539703369
"16",4359,4980,3.65148377418518
"17",4359,5493,0.942809045314789
"18",4359,5855,8.9442720413208
"19",4359,9345,1.61514568328857
"20",4359,9361,0.70200651884079
"21",4359,11838,15.4919338226318
"22",4359,13185,1.22859025001526
"23",4359,17161,5.85540056228638
"24",4361,11100,0.686667859554291
"25",4381,13777,0.5765500664711
"26",4412,4872,0.184545502066612
"27",4412,5561,0.850230276584625
"28",4451,17478,0.970142483711243
"29",4482,12246,15.4919338226318
"30",4678,15142,3.65148377418518
"31",4683,4832,0.583046615123749
"32",4683,12217,3.09838676452637
"33",4719,4780,0.807572841644287
"34",4719,6001,1.11513376235962
"35",4719,8128,4.14039325714111
"36",4780,4451,1.51910901069641
"37",4799,8105,0.218673929572105
"38",4832,8775,0.499739795923233
"39",4832,17624,0.4643634557724
"40",4841,5347,3.30289125442505
"41",4852,9229,1.66090965270996
"42",4872,4799,0.269109696149826
"43",4876,11544,0.219682961702347
"44",4954,4359,1.64214169979095
"45",4979,4308,6.32455539703369
"46",4979,5943,15.4919338226318
"47",4980,7946,6.32455539703369
"48",4980,8204,15.4919338226318
"49",5087,5659,1.32356524467468
"50",5092,8127,1.67053818702698
"51",5092,10573,0.941067934036255
"52",5128,5493,0.66977471113205
"53",5160,17351,2.48069477081299
"54",5313,9641,4.4721360206604
"55",5344,4323,2.2360680103302
"56",5344,4482,4.67099380493164
"57",5347,5787,10.9544515609741
"58",5347,5943,3.38061690330505
"59",5351,9657,3.16227769851685
"60",5493,4080,0.165313720703125
"61",5493,4719,1.35873246192932
"62",5493,7483,0.619677364826202
"63",5493,8457,0.395413428544998
"64",5526,15600,2.78243327140808
"65",5561,4412,1.22474491596222
"66",5643,7946,3.65148377418518
"67",5659,4234,1.38013112545013
"68",5659,5160,2.25973081588745
"69",5733,4954,1.07159948348999
"70",5733,8497,2.41943359375
"71",5756,4073,1.93649172782898
"72",5756,6643,1.53392994403839
"73",5787,4359,3.30289125442505
"74",5817,11651,1.4201432466507
"75",5855,5344,1.8650096654892
"76",5911,5128,3.75734567642212
"77",5943,4077,2.2360680103302
"78",5943,4276,3.65148377418518
"79",5943,4359,3.16227769851685
"80",5943,5313,1.51185786724091
"81",5943,6002,3.23029136657715
"82",6001,4359,2.12798070907593
"83",6001,4852,0.818774104118347
"84",6001,10293,1.95180010795593
"85",6001,12217,2.58198881149292
"86",6091,10221,0.603022694587708
"87",6156,8428,2.69679951667786
"88",6166,8128,1.29550051689148
"89",6245,6613,0.920899868011475
"90",6460,15544,0.658189177513123
"91",6524,5344,4.2966890335083
"92",6524,5943,2.16930460929871
"93",6532,10885,1.75411605834961
"94",6534,6245,1.40257370471954
"95",6582,4308,10.9544515609741
"96",6582,17467,1.04210019111633
"97",6590,8264,6.32455539703369
"98",6590,12143,3.75734567642212
"99",6590,15466,1.77704668045044
