"","node","closeness","n.closeness"
"1",3981,1.72877801367353e-05,1.67842525599372e-07
"2",4007,2.69658404870021e-05,2.61804276572836e-07
"3",4036,2.29054344492909e-05,2.2238285873098e-07
"4",4038,2.73068401003343e-05,2.6511495243043e-07
"5",4045,2.70163532468702e-05,2.62294691717187e-07
"6",4061,2.33168719926436e-05,2.26377397986831e-07
"7",4068,2.72138231658111e-05,2.64211875396224e-07
"8",4075,2.75961360193703e-05,2.67923650673498e-07
"9",4077,2.71888468175132e-05,2.63969386577798e-07
"10",4112,2.72427720232168e-05,2.6449293226424e-07
"11",4113,2.71514008845756e-05,2.63605833830832e-07
"12",4129,2.7050089175744e-05,2.62622225007223e-07
"13",4185,2.37721972660101e-05,2.30798031708836e-07
"14",4216,2.71399721616499e-05,2.63494875355825e-07
"15",4330,2.46506847682868e-05,2.39327036585309e-07
"16",4332,1.20828998380685e-05,1.17309707165714e-07
"17",4338,2.3563083254242e-05,2.28767798584874e-07
"18",4344,2.45288284746412e-05,2.38143965773215e-07
"19",4399,2.73722355070104e-05,2.65749859291363e-07
"20",4451,1.92286069232194e-05,1.86685504108926e-07
"21",4467,9.57392764557557e-06,9.29507538405396e-08
"22",4474,2.67697171277051e-05,2.59900166288399e-07
"23",4626,1.75377201182712e-05,1.70269127361856e-07
"24",4723,2.67833882192484e-05,2.60032895332509e-07
"25",4752,1.39506063241757e-05,1.35442779846366e-07
"26",4862,1.81156827687802e-05,1.75880415230876e-07
"27",4889,1.6945731004406e-05,1.64521660236951e-07
"28",4906,2.31379083886263e-05,2.24639887268216e-07
"29",5112,2.70977024650165e-05,2.63084489951616e-07
"30",5130,1.17193398200544e-05,1.13779998252955e-07
"31",5233,1.76120004953819e-05,1.70990296071668e-07
"32",5258,2.39721524883338e-05,2.3273934454693e-07
"33",5319,2.68674867673e-05,2.60849386090291e-07
"34",5336,2.72690686596604e-05,2.64748239414178e-07
"35",5393,8.87660054500937e-06,8.6180587815625e-08
"36",5443,2.54832860154442e-05,2.47410543839264e-07
"37",5449,2.54937175452521e-05,2.4751182082769e-07
"38",5510,2.73661533065892e-05,2.65690808801836e-07
"39",5511,2.70506899796345e-05,2.62628058054704e-07
