"","node","betweenness"
"1",3981,4477
"2",3988,2903
"3",4026,0
"4",4027,979
"5",4028,1957
"6",4038,11685
"7",4047,50684
"8",4049,22621
"9",4067,3972
"10",4073,31982
"11",4075,1957
"12",4077,25862
"13",4085,979
"14",4086,10574
"15",4087,26694
"16",4096,44687
"17",4100,14649
"18",4101,3968
"19",4108,0
"20",4113,32248
"21",4114,0
"22",4127,23880
"23",4129,1983
"24",4136,0
"25",4149,45929
"26",4171,12447
"27",4175,8383
"28",4176,25642
"29",4178,2948
"30",4182,6888
"31",4190,1985
"32",4202,20030
"33",4203,2970
"34",4204,6678
"35",4209,11482
"36",4216,38128
"37",4221,4930
"38",4224,2949
"39",4233,979
"40",4234,246
"41",4240,2962
"42",4258,0
"43",4259,4941
"44",4273,5571
"45",4274,17649
"46",4277,13340
"47",4285,0
"48",4288,44248
"49",4289,1985
"50",4303,5915
"51",4308,8483
"52",4312,3966
"53",4316,7470
"54",4321,12135
"55",4325,1957
"56",4326,60197
"57",4330,3805
"58",4334,6635
"59",4336,8804
"60",4351,3938
"61",4357,1972
"62",4373,6397
"63",4375,0
"64",4380,2948
"65",4388,8109
"66",4391,18494
"67",4392,4961
"68",4396,3966
"69",4402,2895
"70",4408,80203
"71",4412,49298
"72",4419,1962
"73",4420,3924
"74",4425,3918
"75",4426,15029
"76",4429,34319
"77",4433,7448
"78",4439,14273
"79",4444,979
"80",4454,40731
"81",4460,7848
"82",4464,9577
"83",4466,46415
"84",4467,34593
"85",4472,5943
"86",4475,3064
"87",4481,1991
"88",4482,4139
"89",4486,1971
"90",4487,7876
"91",4499,1985
"92",4503,2963
"93",4521,0
"94",4523,993
"95",4542,1957
"96",4546,0
"97",4550,1957
"98",4560,369356
"99",4562,3959
"100",4563,6564
"101",4567,9563
"102",4570,13790
"103",4595,2934
"104",4600,2934
"105",4608,6855
"106",4632,34169
"107",4633,0
"108",4634,22827
"109",4635,17004
"110",4645,4407
"111",4646,2988
"112",4652,1045
"113",4653,47961
"114",4658,4029
"115",4659,1957
"116",4662,0
"117",4665,1985
"118",4670,4885
"119",4671,0
"120",4674,1957
"121",4677,8323
"122",4682,14306
"123",4685,0
"124",4690,8635
"125",4691,0
"126",4694,138405
"127",4717,18
"128",4721,6783
"129",4737,997
"130",4738,1971
"131",4748,50827
"132",4749,218298
"133",4754,0
"134",4759,26843
"135",4769,4136
"136",4773,27297
"137",4774,0
"138",4783,5808
"139",4795,8824
"140",4807,22877
"141",4812,15001
"142",4841,3973
"143",4848,11340
"144",4866,11558
"145",4869,3987
"146",4871,49607
"147",4882,22300
"148",4890,18524
"149",4893,53825
"150",4900,29360
"151",4918,1227
"152",4921,1985
"153",4929,27246
"154",4939,3938
"155",4945,17551
"156",4947,3938
"157",4951,4379
"158",4957,176076
"159",4962,2367
"160",4972,0
"161",4989,993
"162",4995,21125
"163",4996,39786
"164",5003,9569
"165",5007,3910
"166",5009,7362
"167",5016,3938
"168",5023,0
"169",5038,5209
"170",5049,807
"171",5050,16861
"172",5060,9871
"173",5062,8860
"174",5063,3930
"175",5134,139600
"176",5140,20565
"177",5142,41500
"178",5146,14020
"179",5151,5432
"180",5159,71732
"181",5184,1039
"182",5186,13628
"183",5193,979
"184",5209,0
"185",5218,3086
"186",5222,58167
"187",5224,5857
"188",5240,0
"189",5242,8198
"190",5252,2958
"191",5253,7947
"192",5255,3421
"193",5265,5059
"194",5268,0
"195",5274,4913
"196",5294,5728
"197",5309,998
"198",5313,1971
"199",5315,0
"200",5316,495
"201",5318,34264
