"","node","closeness","n.closeness"
"1",4000,2.74495920813346e-06,1.21998187028154e-08
"2",4028,5.49074821231213e-06,2.44033253880539e-08
"3",4077,6.50403981858206e-06,2.89068436381425e-08
"4",4086,6.29046486606235e-06,2.79576216269438e-08
"5",4097,3.97013998703512e-06,1.7645066609045e-08
"6",4113,5.87604304002585e-06,2.61157468445593e-08
"7",4151,7.41786362523597e-06,3.29682827788265e-08
"8",4167,5.97677708948913e-06,2.65634537310628e-08
"9",4226,6.50392241871313e-06,2.89063218609473e-08
"10",4285,3.14491194685848e-06,1.39773864304821e-08
"11",4288,6.51891396978387e-06,2.89729509768172e-08
"12",4301,5.86216570876539e-06,2.60540698167351e-08
"13",4316,2.06277441403246e-06,9.16788628458871e-09
"14",4333,6.42906937854328e-06,2.85736416824146e-08
"15",4355,6.41186860053065e-06,2.84971937801362e-08
"16",4356,5.60060243678121e-06,2.48915663856943e-08
"17",4362,6.42430156268709e-06,2.85524513897204e-08
"18",4375,3.84921495895441e-06,1.71076220397974e-08
"19",4396,6.32954312526991e-06,2.81313027789774e-08
"20",4404,6.47561691720041e-06,2.87805196320018e-08
"21",4442,6.43339409223665e-06,2.85928626321629e-08
"22",4451,6.47786976855458e-06,2.8790532304687e-08
"23",4485,6.50249492488518e-06,2.88999774439341e-08
"24",4496,6.48241170062149e-06,2.88107186694289e-08
"25",4535,6.28320151737067e-06,2.7925340077203e-08
"26",4569,5.5685959960132e-06,2.47493155378364e-08
"27",4598,6.94568723364284e-06,3.08697210384126e-08
"28",4610,6.28244354049078e-06,2.79219712910702e-08
"29",4671,3.87270803630688e-06,1.72120357169195e-08
"30",4680,6.03676243116277e-06,2.68300552496123e-08
"31",4684,6.37796747443413e-06,2.83465221085961e-08
"32",4780,6.00477084188241e-06,2.66878704083663e-08
"33",4807,6.50616643853129e-06,2.89162952823613e-08
"34",4817,6.47154311062666e-06,2.87624138250074e-08
"35",4912,6.47860637590716e-06,2.87938061151429e-08
"36",4918,6.19362940005026e-06,2.75272417780011e-08
"37",4956,5.30179348976588e-06,2.35635266211817e-08
"38",4957,5.81593716784106e-06,2.58486096348492e-08
"39",4983,5.95461504646931e-06,2.64649557620858e-08
"40",4985,1.96533420300715e-06,8.7348186800318e-09
"41",5048,3.83370435693683e-06,1.70386860308304e-08
"42",5089,6.11367970613961e-06,2.71719098050649e-08
"43",5112,5.81746235786183e-06,2.58553882571637e-08
"44",5130,6.407064673619e-06,2.84758429938622e-08
"45",5160,6.0638050139673e-06,2.69502445065213e-08
"46",5210,6.52445864160649e-06,2.89975939626955e-08
"47",5233,6.51881515747556e-06,2.89725118110025e-08
"48",5266,3.25715008612937e-06,1.44762226050194e-08
"49",5322,3.64954101514136e-06,1.62201822895172e-08
"50",5324,3.34220576284399e-06,1.48542478348622e-08
"51",5328,6.40620571973457e-06,2.84720254210425e-08
"52",5358,5.37005401327111e-06,2.38669067256494e-08
"53",5360,6.3780803686761e-06,2.83470238607827e-08
"54",5399,6.40756352890099e-06,2.84780601284488e-08
"55",5404,6.51348690886777e-06,2.8948830706079e-08
"56",5419,6.47130751316213e-06,2.8761366725165e-08
"57",5445,2.84863509785598e-06,1.26606004349155e-08
"58",5455,6.22432702739086e-06,2.76636756772927e-08
"59",5482,7.54254194045868e-06,3.35224086242608e-08
"60",5488,6.52460552230334e-06,2.89982467657926e-08
"61",5493,2.67500536324582e-06,1.1888912725537e-08
"62",5521,6.48538535157404e-06,2.88239348958846e-08
"63",5570,6.45157540465071e-06,2.86736684651143e-08
"64",5669,5.25398424300142e-06,2.33510410800063e-08
"65",5707,4.12746667162368e-06,1.83442963183275e-08
"66",5748,6.39873115157475e-06,2.843880511811e-08
"67",5754,6.48319978601067e-06,2.88142212711585e-08
"68",5784,6.41084804695045e-06,2.84926579864464e-08
"69",5838,6.42789147892359e-06,2.85684065729937e-08
"70",5965,5.61783030119861e-06,2.49681346719938e-08
"71",5985,6.45186575962939e-06,2.86749589316862e-08
"72",6095,5.63786922760798e-06,2.50571965671466e-08
"73",6108,6.31843796453618e-06,2.80819465090497e-08
"74",6111,6.47674000036795e-06,2.87855111127465e-08
"75",6195,6.15934929051591e-06,2.73748857356263e-08
"76",6214,6.40384862584143e-06,2.84615494481841e-08
"77",6235,4.7988497270481e-06,2.13282210091027e-08
"78",6268,2.80309258548753e-06,1.24581892688335e-08
"79",6383,1.88928997600703e-06,8.39684433780903e-09
"80",6404,6.47762742090359e-06,2.8789455204016e-08
"81",6408,6.41352499026106e-06,2.85045555122714e-08
"82",6412,5.48956568237814e-06,2.43980696994584e-08
"83",6424,6.31788102366912e-06,2.80794712163072e-08
"84",6438,6.24884794447722e-06,2.77726575310099e-08
"85",6460,6.41078639455989e-06,2.84923839758218e-08
