"","i","j","w"
"1",3995,16230,1.03975045681
"2",4023,6626,1.20240724086761
"3",4027,4113,2.03419041633606
"4",4036,5592,5.16397762298584
"5",4065,8802,4.4721360206604
"6",4077,10918,6.32455539703369
"7",4077,11940,6.92820310592651
"8",4078,4725,4.67099380493164
"9",4085,11412,0.287479788064957
"10",4095,17970,3.87298345565796
"11",4096,4884,0.822226464748383
"12",4096,6655,0.898933172225952
"13",4096,8885,0.916057229042053
"14",4113,4669,4.14039325714111
"15",4118,4268,10.9544515609741
"16",4118,5455,3.16227769851685
"17",4118,5687,1.57296752929688
"18",4125,6410,0.593652188777924
"19",4167,4665,2.1081850528717
"20",4175,4563,5.47722578048706
"21",4195,4633,0.852802872657776
"22",4195,6017,0.682656168937683
"23",4223,13381,5.85540056228638
"24",4268,5842,4.14039325714111
"25",4268,7084,1.15470051765442
"26",4268,11404,4
"27",4277,8860,0.116662196815014
"28",4301,4319,1.26491105556488
"29",4301,5313,1.17444038391113
"30",4301,6296,7.74596691131592
"31",4301,7269,0.847680866718292
"32",4306,4078,3.87298345565796
"33",4306,7771,3.87298345565796
"34",4319,5321,1.19168722629547
"35",4330,6955,1.54150497913361
"36",4330,13421,2.08893179893494
"37",4332,10144,1.12986540794373
"38",4332,12849,2.05195665359497
"39",4357,4633,0.668526291847229
"40",4357,4670,0.580177485942841
"41",4357,16192,0.719194948673248
"42",4375,4357,0.299308657646179
"43",4418,4633,0.739389657974243
"44",4426,17353,3.16227769851685
"45",4451,5996,2.1081850528717
"46",4563,7881,0.941067934036255
"47",4608,16732,2
"48",4610,4301,0.809776306152344
"49",4633,4195,1.87867283821106
"50",4633,4301,1.30005419254303
"51",4633,4418,0.841406345367432
"52",4633,4971,2.98142385482788
"53",4633,6085,0.435972984880209
"54",4633,6120,2.73861289024353
"55",4633,6161,0.313625007867813
"56",4633,6284,0.516684889793396
"57",4633,6355,0.393749624490738
"58",4633,6412,0.772667407989502
"59",4633,7123,0.840168058872223
"60",4633,7579,0.232757538557053
"61",4633,9075,0.0795494318008423
"62",4633,10985,0.410247415304184
"63",4633,11862,0.075463630259037
"64",4633,14250,0.561582148075104
"65",4633,14503,2.08893179893494
"66",4633,15815,1.64214169979095
"67",4633,15975,0.979795873165131
"68",4658,7755,15.4919338226318
"69",4665,5266,2.36249780654907
"70",4665,16220,5.47722578048706
"71",4669,12373,0.96824586391449
"72",4670,4357,0.759554505348206
"73",4670,4633,0.419621467590332
"74",4670,5058,5.85540056228638
"75",4670,13235,1.95180010795593
"76",4680,9179,2.14834451675415
"77",4725,7704,4.14039325714111
"78",4725,12795,15.4919338226318
"79",4767,4301,1.28653502464294
"80",4782,10731,4.14039325714111
"81",4796,4633,0.229667693376541
"82",4873,12480,1.67053818702698
"83",4875,5605,3.55409336090088
"84",4884,5058,1.65144562721252
"85",4890,8311,6.92820310592651
"86",4890,15928,3.87298345565796
"87",4944,4670,0.878466963768005
"88",4944,7084,2.19089031219482
"89",4944,7155,1.27342903614044
