"","i","j","w"
"1",4077,6470,0.691438853740692
"2",4077,6517,1.95180010795593
"3",4085,8444,0.381500661373138
"4",4125,4147,0.615749061107635
"5",4147,5026,0.499739795923233
"6",4147,8833,1.26491105556488
"7",4147,12570,0.306365787982941
"8",4330,7752,2.2360680103302
"9",4330,11270,1.31400859355927
"10",4412,14093,0.0995838567614555
"11",4496,6705,2.6186146736145
"12",4633,4733,0.437827914953232
"13",4633,5026,0.416125178337097
"14",4733,4633,0.362341046333313
"15",4733,9681,0.447960823774338
"16",4795,6869,0.559381306171417
"17",4969,4496,3.46410155296326
"18",5026,7208,0.541331946849823
"19",5026,17134,0.405859619379044
"20",5324,9330,0.151452854275703
"21",5383,4330,1.62399590015411
"22",5558,11888,2.16930460929871
"23",6129,4085,1.10375452041626
"24",6208,5383,2.08893179893494
"25",6470,7259,2.05195665359497
"26",6517,4330,10.9544515609741
"27",6517,8187,2.69679951667786
"28",6705,8467,1.93649172782898
"29",6714,7259,1.07676374912262
"30",6869,6714,1.42614805698395
"31",6981,4147,1.82574188709259
"32",7208,4077,0.571428596973419
"33",7259,6981,0.690065562725067
"34",7259,7752,1.60643863677979
"35",7259,8187,2.28416085243225
"36",7259,10836,1.13898956775665
"37",7624,16823,1.18124890327454
"38",7752,6129,0.710071623325348
"39",7752,6208,1.26491105556488
"40",7752,6517,3.46410155296326
"41",7752,7259,2.41943359375
"42",7752,9115,0.392483949661255
"43",7752,10307,2.36249780654907
"44",8187,4969,2.65684461593628
"45",8187,7624,1.41421353816986
"46",8187,7752,2.19089031219482
"47",8444,4125,0.396318137645721
"48",8467,7752,1.25656175613403
"49",8807,5324,0.972050368785858
"50",8833,4795,0.580992877483368
"51",9115,5558,1.03279554843903
"52",9256,4633,0.17138309776783
"53",9330,9256,0.105229139328003
"54",9681,7752,0.557928323745728
"55",9798,7259,1.25656175613403
"56",10307,8187,2.33549690246582
"57",10836,4147,0.344776332378387
"58",11270,4077,5.16397762298584
"59",11888,4733,0.919277131557465
"60",12570,9798,0.56306391954422
"61",14093,8807,0.11505214124918
"62",17134,7752,0.252982199192047
