"","node","closeness","n.closeness"
"1",3981,2.1504473319332e-05,5.65907192614e-08
"2",4021,1.49005276331322e-05,3.9211914824032e-08
"3",4028,2.79920547363753e-05,7.36633019378297e-08
"4",4029,3.30367166755397e-05,8.69387280935255e-08
"5",4036,3.27546259551431e-05,8.61963840924819e-08
"6",4047,2.88068770670861e-05,7.58075712291739e-08
"7",4052,3.11194355228012e-05,8.18932513757927e-08
"8",4067,1.8028339518697e-05,4.74429987334133e-08
"9",4069,1.69985252798011e-05,4.47329612626344e-08
"10",4077,3.28335705192171e-05,8.6404132945308e-08
"11",4086,3.37012693300029e-05,8.86875508684286e-08
"12",4095,2.10348186166965e-05,5.53547858334119e-08
"13",4096,3.34988637113831e-05,8.81549045036397e-08
"14",4101,3.3168194610741e-05,8.72847226598447e-08
"15",4127,3.3838772503116e-05,8.90494013239894e-08
"16",4130,2.69162862062585e-05,7.08323321217328e-08
"17",4136,3.21798612704961e-05,8.46838454486739e-08
"18",4157,2.4123801201244e-05,6.34836873716947e-08
"19",4182,2.72810679869255e-05,7.17922841761198e-08
"20",4184,1.87688888331002e-05,4.93918127186848e-08
"21",4185,2.38883284216802e-05,6.28640221623163e-08
"22",4224,2.41251126657441e-05,6.34871385940635e-08
"23",4234,1.7068590371392e-05,4.49173430826104e-08
"24",4255,2.41429663933289e-05,6.35341220877076e-08
"25",4261,1.29148166279614e-05,3.39863595472669e-08
"26",4301,2.77100929900864e-05,7.29212973423327e-08
"27",4305,2.9565223257417e-05,7.78032190984657e-08
"28",4313,3.2012088073713e-05,8.42423370360869e-08
"29",4325,8.22468141002123e-06,2.16438984474243e-08
"30",4328,3.07014106784791e-05,8.07931859959975e-08
"31",4330,2.8474645372813e-05,7.49332772968764e-08
"32",4335,2.62398575229129e-05,6.90522566392446e-08
"33",4375,2.80887989201699e-05,7.3917891895184e-08
"34",4377,3.14528493940226e-05,8.27706563000594e-08
"35",4391,4.44402434005314e-06,1.16948008948767e-08
"36",4396,2.33090690110979e-05,6.13396552923629e-08
"37",4420,8.58760289159442e-06,2.25989549778801e-08
"38",4439,1.20609756868804e-05,3.17394097023168e-08
"39",4448,1.84253519732804e-05,4.84877683507379e-08
"40",4466,2.73631024471633e-05,7.20081643346403e-08
