"","node","betweenness"
"358",5902,184
"359",5925,14735
"360",5955,28704
"361",5959,4537
"362",5975,4510
"363",5980,14789
"364",5989,3909
"365",5993,9089
"366",5994,0
"367",6007,5992
"368",6012,22472
"369",6019,1138
"370",6031,15506
"371",6045,6768
"372",6049,19484
"373",6053,2275
"374",6054,4249
"375",6063,2275
"376",6069,4833
"377",6075,7882
"378",6079,2266
"379",6080,12400
"380",6085,4510
"381",6091,4528
"382",6108,6459
"383",6113,11416
"384",6129,27029
"385",6140,2275
"386",6145,15598
"387",6151,6360
"388",6153,22551
"389",6154,1129
"390",6166,0
"391",6177,0
"392",6180,6759
"393",6184,3193
"394",6196,9610
"395",6198,4510
"396",6203,1140
"397",6205,6890
"398",6208,1129
"399",6214,36017
"400",6215,2533
"401",6224,0
"402",6246,1138
"403",6251,0
"404",6259,19921
"405",6260,150
"406",6263,0
"407",6268,5479
"408",6279,2275
"409",6296,2266
"410",6300,0
"411",6308,4519
"412",6311,5103
"413",6366,176
"414",6368,8900
"415",6370,66
"416",6376,9390
"417",6384,6266
"418",6394,4778
"419",6411,0
"420",6412,592
"421",6415,3519
"422",6453,14608
"423",6454,6795
"424",6462,693
"425",6467,41196
"426",6470,32237
"427",6475,12127
"428",6483,4537
"429",6486,15714
"430",6490,7527
"431",6494,0
"432",6496,0
"433",6512,38669
"434",6517,116391
"435",6533,3968
"436",6546,3475
"437",6560,2257
"438",6562,4528
"439",6582,74249
"440",6586,3950
"441",6590,18988
"442",6592,4546
"443",6597,928
"444",6606,80
"445",6609,3411
"446",6622,2267
"447",6626,7909
"448",6629,1138
"449",6640,20965
"450",6643,22486
"451",6655,4179
"452",6657,6804
"453",6675,19050
"454",6678,3614
"455",6683,10146
"456",6691,2275
"457",6694,31618
"458",6698,53367
"459",6705,44515
"460",6714,3430
"461",6717,2267
"462",6721,5462
"463",6729,2623
"464",6742,1138
"465",6753,26822
"466",6755,19494
"467",6762,9116
"468",6771,11407
"469",6794,23396
"470",6816,5636
"471",6822,10308
"472",6823,2266
"473",6869,42
"474",6876,2275
"475",6915,0
"476",6928,23564
"477",6956,11490
"478",6958,29983
"479",6964,11845
"480",6981,4003
"481",6987,7161
"482",6991,5627
"483",7007,6589
"484",7018,20262
"485",7043,1129
"486",7056,1395
"487",7066,4519
"488",7068,15669
"489",7086,2551
"490",7087,2257
"491",7106,6017
"492",7113,1137
"493",7130,12391
"494",7136,0
"495",7151,4519
"496",7157,6937
"497",7160,1129
"498",7199,5018
"499",7208,4538
"500",7220,7891
"501",7225,6786
"502",7229,2266
"503",7239,0
"504",7256,0
"505",7259,15254
"506",7261,21291
"507",7269,12468
"508",7272,12382
"509",7302,4170
"510",7309,1832
"511",7323,257731
"512",7335,2275
"513",7336,1098
"514",7340,6291
"515",7341,20387
"516",7344,14552
"517",7354,0
"518",7357,33142
"519",7358,9058
"520",7368,2761
"521",7385,21875
"522",7438,5680
"523",7452,2545
"524",7471,4546
"525",7474,46830
"526",7494,5076
"527",7505,6813
"528",7508,1141
"529",7521,29227
"530",7533,2288
"531",7537,2257
"532",7546,4519
"533",7552,0
"534",7555,14690
"535",7564,11811
"536",7568,7882
"537",7569,2275
"538",7571,1360
"539",7579,0
"540",7603,1129
"541",7624,1131
"542",7636,11517
"543",7654,2262
"544",7656,15687
"545",7662,7900
"546",7691,2278
"547",7705,12755
"548",7733,12595
"549",7744,1138
"550",7750,12435
"551",7751,20800
"552",7752,113275
"553",7755,6777
"554",7793,2257
"555",7799,3196
"556",7802,27995
"557",7805,4060
"558",7810,7864
"559",7826,26848
"560",7835,13837
"561",7849,51
"562",7851,17999
"563",7853,9028
"564",7871,10345
"565",7881,34225
"566",7907,3187
"567",7929,0
"568",7973,11156
"569",7976,6777
"570",8002,2257
"571",8007,1129
"572",8009,4565
"573",8011,3384
"574",8031,15705
"575",8046,11820
"576",8065,6804
"577",8072,3393
"578",8082,27964
"579",8093,10137
"580",8098,4807
"581",8104,11251
"582",8119,6804
"583",8132,14040
