"","node","betweenness"
"1",4086,1526
"2",4087,2290
"3",4100,2280
"4",4149,247
"5",4157,3797
"6",4184,366
"7",4199,245
"8",4255,1558
"9",4269,1534
"10",4283,8027
"11",4292,2278
"12",4332,246
"13",4377,1180
"14",4389,729
"15",4482,141
"16",4533,1106
"17",4569,2281
"18",4573,797
"19",4610,2279
"20",4626,2288
"21",4633,9790
"22",4655,606
"23",4684,0
"24",4698,2111
"25",4708,704
"26",4733,367
"27",4737,2180
"28",4775,723
"29",4812,368
"30",4841,1210
"31",4849,5601
"32",4903,2181
"33",4936,3583
"34",4945,1575
"35",4951,3348
"36",5098,1207
"37",5106,2766
"38",5205,3496
"39",5313,798
"40",5368,489
"41",5374,2276
"42",5414,3852
"43",5465,1529
"44",5517,5727
"45",5561,605
"46",5607,727
"47",5609,3494
"48",5666,607
"49",5951,4428
"50",6134,1555
"51",6149,3974
"52",6192,1208
"53",6268,1531
"54",6273,0
"55",6274,247
"56",6312,796
"57",6366,2271
"58",6368,369
"59",6399,728
"60",6437,2285
"61",6587,5037
"62",6597,2287
"63",6686,1530
"64",6836,1523
"65",6846,1525
"66",6882,2274
"67",6954,1547
"68",7247,726
"69",7333,486
"70",7357,724
"71",7438,246
"72",7455,1521
"73",7544,2112
"74",7565,1522
"75",7691,3701
"76",7736,2275
"77",7942,2289
"78",8101,4118
"79",8168,965
"80",8351,3504
"81",8400,4221
"82",8927,245
"83",8979,609
"84",9059,2283
"85",9431,3495
"86",9446,2270
"87",9880,2273
"88",9934,5600
"89",10051,3582
"90",10795,1528
"91",10803,1581
"92",11016,124
"93",11017,4304
"94",11604,488
"95",11669,123
"96",11816,2277
"97",11873,3347
"98",12160,0
"99",12550,124
"100",12686,1557
"101",12760,608
"102",12829,124
"103",12906,3584
"104",12947,725
"105",12958,123
"106",13040,2282
"107",13079,1524
"108",13454,610
"109",13631,1677
"110",13742,2284
"111",13977,142
"112",14212,1532
"113",14579,3503
"114",14606,2272
"115",14656,1207
"116",14815,705
"117",14844,1533
"118",15327,2286
"119",15871,15
"120",15908,123
"121",16070,2110
"122",16158,1333
"123",16283,487
"124",17620,1556
"125",17688,490
"126",17771,1527
