"","node","closeness","n.closeness"
"1",4073,1.56807943123649e-05,1.40007092074687e-07
"2",4077,1.59560691451552e-05,1.42464903081743e-07
"3",4080,1.56781450787961e-05,1.39983438203536e-07
"4",4081,1.5736772485606e-05,1.40506897192911e-07
"5",4102,1.59091535516331e-05,1.42046013853867e-07
"6",4109,1.59407141867832e-05,1.42327805239136e-07
"7",4217,1.5236349527147e-05,1.36038835063813e-07
"8",4221,1.43379517237471e-05,1.28017426104885e-07
"9",4244,1.59369616237172e-05,1.42294300211761e-07
"10",4283,1.58995870375452e-05,1.41960598549511e-07
"11",4295,1.5783937550067e-05,1.40928013839884e-07
"12",4296,1.37172455255935e-05,1.22475406478513e-07
"13",4308,1.58602330637838e-05,1.41609223783784e-07
"14",4412,3.28576930038853e-07,2.93372258963261e-09
"15",4468,1.53252127087667e-05,1.36832256328274e-07
"16",4473,1.59080519147576e-05,1.42036177810336e-07
"17",4482,1.5765133407568e-05,1.40760119710428e-07
"18",4548,1.59660493673483e-05,1.42554012208467e-07
"19",4563,1.57372142857778e-05,1.40510841837302e-07
"20",4564,1.59089368160691e-05,1.42044078714902e-07
"21",4577,1.5772745554781e-05,1.40828085310545e-07
"22",4608,1.59024196935878e-05,1.4198589012132e-07
"23",4624,1.57704735562868e-05,1.40807799609704e-07
"24",4630,1.19819160398214e-05,1.06981393212691e-07
"25",4632,1.62033798156855e-05,1.4467303406862e-07
"26",4673,1.57420934422279e-05,1.40554405734178e-07
"27",4694,1.42353438808773e-05,1.2710128465069e-07
"28",4826,1.59597398344304e-05,1.42497677093129e-07
"29",4849,1.5729459839419e-05,1.40441605709098e-07
"30",4885,1.55299247550662e-05,1.38660042455948e-07
"31",4888,1.58423571142241e-05,1.41449617091287e-07
"32",4920,1.58959800358258e-05,1.41928393177016e-07
"33",4928,1.58309748423854e-05,1.41347989664155e-07
"34",4960,1.5921100747094e-05,1.42152685241911e-07
"35",5029,1.45536375715128e-05,1.29943192602793e-07
"36",5105,1.58409065780563e-05,1.41436665875503e-07
"37",5146,1.59449946343257e-05,1.42366023520765e-07
"38",5160,1.5915314683845e-05,1.42101023962902e-07
"39",5196,1.5327241469786e-05,1.36850370265947e-07
"40",5266,1.58911852353823e-05,1.41885582458771e-07
"41",5488,1.51258036899444e-05,1.35051818660218e-07
"42",5504,1.5900254519021e-05,1.41966558205545e-07
"43",5517,1.58577742914546e-05,1.41587270459416e-07
"44",5646,1.5888969078108e-05,1.4186579534025e-07
"45",5723,1.57992589847354e-05,1.41064812363709e-07
"46",5725,1.58411930818475e-05,1.41439223945067e-07
"47",5802,1.52680555265716e-05,1.36321924344389e-07
"48",5937,1.59866308814241e-05,1.42737775727001e-07
"49",5993,1.57781974424439e-05,1.40876762878964e-07
"50",6129,1.47990520635575e-05,1.3213439342462e-07
"51",6195,1.58260761956687e-05,1.41304251747042e-07
"52",6196,1.41697084674243e-05,1.26515254173432e-07
"53",6629,1.57331506455689e-05,1.40474559335436e-07
"54",6732,1.59190751467146e-05,1.42134599524237e-07
"55",6983,1.59570139139621e-05,1.42473338517519e-07
"56",7180,1.29763997340307e-05,1.15860711910989e-07
"57",7365,1.59331745932235e-05,1.42260487439495e-07
"58",7579,3.31188287389807e-06,2.95703828026613e-08
"59",7657,1.5925642128403e-05,1.42193233289312e-07
"60",7750,1.37348573985413e-05,1.22632655344119e-07
"61",7989,1.58793368566649e-05,1.41779793363079e-07
"62",8021,1.06201325439203e-05,9.48226119992883e-08
"63",8280,1.25244859890634e-05,1.11825767759495e-07
"64",8282,1.59247191691416e-05,1.42184992581621e-07
"65",8470,1.59058852014012e-05,1.42016832155368e-07
"66",8888,1.59385748324118e-05,1.4230870386082e-07
"67",9162,1.22812562745839e-05,1.09654073880213e-07
"68",9217,1.58800386218616e-05,1.41786059123764e-07
"69",9226,1.59040439607884e-05,1.4200039250704e-07
"70",9281,1.57738107715331e-05,1.40837596174403e-07
"71",9514,1.58558365320295e-05,1.41569969035977e-07
"72",9664,1.58948621847636e-05,1.41918412363961e-07
"73",9691,1.5857864020991e-05,1.41588071615991e-07
"74",9841,1.58760807518949e-05,1.41750720999062e-07
"75",9945,1.58049787824716e-05,1.41115881986353e-07
"76",10008,1.58789769931896e-05,1.41776580296336e-07
"77",10141,1.1727870762814e-05,1.04713131810839e-07
"78",10254,1.11199162336424e-05,9.92849663718067e-08
"79",10255,1.27683243042535e-05,1.14002895573692e-07
"80",10277,3.86815437004806e-06,3.45370925897148e-08
"81",10328,1.51901725665481e-05,1.35626540772751e-07
"82",10357,1.54990596883952e-05,1.38384461503529e-07
"83",10581,1.34145311978829e-05,1.19772599981097e-07
"84",10625,1.58464594568332e-05,1.41486245150296e-07
"85",10775,1.54278557652847e-05,1.37748712190042e-07
"86",11042,1.57981369076581e-05,1.41054793818376e-07
"87",11072,1.56378889759094e-05,1.39624008713477e-07
"88",11131,1.38248679870564e-05,1.23436321313004e-07
"89",11444,1.57878318225656e-05,1.4096278413005e-07
"90",11473,1.58864473678132e-05,1.41843280069761e-07
"91",11635,1.56733057031336e-05,1.39940229492265e-07
"92",11887,1.57893616056187e-05,1.4097644290731e-07
"93",11917,1.58956735086871e-05,1.41925656327563e-07
"94",12348,1.43643761781126e-05,1.28253358733149e-07
"95",12779,1.58839804672943e-05,1.41821254172271e-07
"96",12894,1.5896106244595e-05,1.41929520041027e-07
"97",12977,1.3857691876033e-05,1.23729391750294e-07
"98",13773,1.51631188682093e-05,1.35384989894726e-07
"99",13879,1.49012750170638e-05,1.33047098366641e-07
"100",14019,1.58401187354245e-05,1.4142963156629e-07
"101",14068,1.58939067371565e-05,1.41909881581755e-07
"102",15387,1.58009513350333e-05,1.41079922634226e-07
"103",15765,1.57349525233125e-05,1.40490647529576e-07
"104",15956,1.58241819082225e-05,1.41287338466273e-07
"105",16034,1.46875312132428e-05,1.31138671546811e-07
"106",16243,1.57691603561484e-05,1.40796074608467e-07
"107",16273,1.58109167745751e-05,1.41168899772992e-07
"108",16340,1.57794766163339e-05,1.4088818407441e-07
"109",16641,1.34208518982808e-05,1.19829034806079e-07
"110",17308,1.59198527697826e-05,1.42141542587345e-07
"111",17393,1.48190051946866e-05,1.3231254638113e-07
"112",17430,1.59503121116934e-05,1.42413500997262e-07
"113",18111,1.19547371546272e-05,1.06738724594886e-07
