"","node","degree","output"
"1",3981,1,0.939336436533791
"2",3988,1,1.43838990437225
"3",3991,1,1.16774841596981
"4",4006,1,0.960768922790491
"5",4027,1,1.36930639376292
"6",4028,3,1.06386887325674
"7",4029,3,5.38126394653235
"8",4043,1,0.35653701631107
"9",4045,1,1.19522860909535
"10",4047,2,1.85861355579653
"11",4053,1,0.430997114839531
"12",4054,1,0.383953313568199
"13",4057,1,0.176961125674539
"14",4063,1,0.816496580519478
"15",4064,1,0.198418945667998
"16",4065,0,0
"17",4066,1,0.752354793299013
"18",4070,2,2.305211265325
"19",4075,1,0.684653196881458
"20",4077,2,5.19445107321323
"21",4083,1,0.190982103873635
"22",4086,1,0.458028611551724
"23",4087,1,0.169313274730601
"24",4090,5,3.86967355292896
"25",4093,0,0
"26",4095,1,3.16227766016838
"27",4096,1,0.336146322306224
"28",4109,5,2.27527988860552
"29",4113,3,6.13274621206851
"30",4118,2,0.722951974270101
"31",4121,1,0.0212382438068688
"32",4125,2,2.40160966372835
"33",4129,1,1.93649167310371
"34",4130,1,0.9258200996954
"35",4132,1,0.229516419891911
"36",4133,1,0.599400898397725
"37",4134,1,1.34839972485906
"38",4137,1,3.16227766016838
"39",4150,1,1.02597835162346
"40",4156,1,0.9325048080305
"41",4157,11,17.2761779994932
"42",4167,3,2.704422051685
"43",4170,2,2.35126083336495
"44",4174,1,1.87867287306758
"45",4181,1,7.74596669241483
"46",4185,3,1.11023186499909
"47",4195,0,0
"48",4207,3,1.9002901537464
"49",4220,1,1.87867287306758
"50",4234,1,0.0462489026896855
"51",4253,1,0.745355992127252
"52",4273,1,0.39477101590669
"53",4277,1,0.149154084758011
"54",4283,4,2.81834375575188
"55",4293,2,6.91561547942391
"56",4305,1,1.09544511501033
"57",4308,1,0.487950036376677
"58",4315,1,0.378415234894157
"59",4321,1,1.04446593529899
"60",4322,2,6.20848017857521
"61",4330,1,0.871489340152821
"62",4339,1,0.458028611551724
"63",4356,1,0.4918693759526
"64",4362,1,0.912870928992703
"65",4389,1,0.297482058282512
"66",4390,1,0.317820863065973
"67",4393,1,5.47722557505166
"68",4412,5,1.27042801524118
"69",4439,6,7.00658663822048
"70",4444,1,0.567961834105074
