"","node","degree","output"
"1",3981,0,0
"2",3988,1,0.763232776418833
"3",3992,1,0.61429511637323
"4",4014,1,0.136420016859697
"5",4028,1,0.882734829379695
"6",4029,1,7.74596669241483
"7",4036,2,7.33708496134517
"8",4043,1,0.0672317930744079
"9",4047,8,13.894925563894
"10",4048,1,1.4142135623731
"11",4067,1,2.73861278752583
"12",4073,1,1.18124884634864
"13",4077,9,10.6628687182279
"14",4083,1,0.919277119262739
"15",4085,2,0.691508353861666
"16",4086,5,3.55483717037402
"17",4087,1,0.468807230106363
"18",4096,6,1.74521180231672
"19",4098,1,0.816496580519478
"20",4101,1,0.30382180961873
"21",4105,1,0.202790672862437
"22",4108,1,0.684653196881458
"23",4109,11,20.9911539276896
"24",4113,4,7.33800955762206
"25",4122,1,1.25656172470754
"26",4125,1,0.0380284893205081
"27",4127,3,3.49630096846753
"28",4132,1,0.205919464840019
"29",4134,2,1.65950093827431
"30",4136,4,2.99049207121679
"31",4141,1,7.74596669241483
"32",4143,1,0.547722557505166
"33",4149,2,1.55440909153885
"34",4171,3,5.13851327341063
"35",4173,1,0.262462067735511
"36",4176,1,0.530744891638158
"37",4182,1,0.23365591368506
"38",4193,1,0.119565567786048
"39",4213,1,0.116761573302178
"40",4215,2,4.73861278752583
"41",4216,1,1.77704663304034
"42",4221,1,0.289885517058028
"43",4224,1,0.151272254561106
"44",4229,2,1.18653836037338
"45",4244,1,0.370116604599145
"46",4259,1,0.480384460614621
"47",4263,3,7.70820393249937
"48",4265,1,0.90659682770237
"49",4277,0,0
"50",4285,2,0.988685918082492
"51",4288,2,3.78309914149794
"52",4289,2,1.94405947317615
"53",4291,1,0.681994339419324
"54",4298,1,1.24034734570603
"55",4304,1,1.69030850941478
"56",4317,2,2.2970194447044
"57",4325,4,8.09565273064952
"58",4326,3,5.94801300838734
"59",4329,2,2.56628859360906
"60",4334,1,1.29099444847761
"61",4336,1,0.546358364079841
"62",4337,1,0.701286872827376
"63",4343,1,1.49071198492532
"64",4346,2,0.513829162933095
"65",4356,2,1.11046769529599
"66",4364,2,1.12092006276724
"67",4374,1,0.99176940717084
"68",4377,1,0.0463348680800971
"69",4390,1,0.486984753354764
"70",4391,2,1.72617316068061
"71",4392,1,0.850230301741828
"72",4393,1,2.44948974278318
"73",4397,1,0.650027084820317
"74",4403,1,1.24034734570603
"75",4408,4,5.6690717902127
"76",4412,4,6.01629971012304
"77",4428,1,0.953462589197919
"78",4432,1,0.752354793299013
"79",4439,2,6.24045835147049
"80",4448,1,0.429668923707545
"81",4454,1,2.92770021877241
"82",4464,1,0.782460795823024
"83",4466,1,0.259063878223113
"84",4472,1,0.654653670271541
"85",4474,2,0.765094300047619
