"","node","closeness","n.closeness"
"1",3977,2.4767168209442e-06,1.30490875708335e-09
"2",3981,4.74507031719396e-06,2.5000370480474e-09
"3",3985,4.73430344875864e-06,2.49436430387705e-09
"4",3991,4.93779630318501e-06,2.6015786634273e-09
"5",3998,4.82788914985017e-06,2.54367183869872e-09
"6",4007,4.0646429921902e-06,2.14154003803488e-09
"7",4008,4.45169616475131e-06,2.34546689396803e-09
"8",4011,5.07693410524383e-06,2.67488625144564e-09
"9",4014,2.20694620816238e-06,1.16277460914772e-09
"10",4021,2.75288905221842e-06,1.45041572824996e-09
"11",4022,4.8803191784581e-06,2.57129566831301e-09
"12",4023,8.91987555992035e-07,4.69961831397279e-10
"13",4027,4.73221973081623e-06,2.49326645459233e-09
"14",4028,4.73348069067182e-06,2.49393081700307e-09
"15",4029,4.9421519766127e-06,2.60387353878435e-09
"16",4030,4.66824463341643e-06,2.45955987008242e-09
"17",4036,4.87415466011546e-06,2.56804776613038e-09
"18",4043,4.44806714271709e-06,2.34355486971395e-09
"19",4048,4.55697353114047e-06,2.40093442104345e-09
"20",4049,4.53962168155738e-06,2.3917922452884e-09
"21",4052,4.54225816692368e-06,2.39318133136126e-09
"22",4057,5.01826848777799e-06,2.64397707469863e-09
"23",4059,4.84898729346531e-06,2.55478782585106e-09
"24",4061,4.79938850515107e-06,2.52865569291416e-09
"25",4063,3.04907926703396e-06,1.60646958220967e-09
"26",4064,9.5628269340867e-07,5.03837035515632e-10
"27",4066,4.57111235026131e-06,2.40838374618615e-09
"28",4069,3.25526139496014e-06,1.71510084033727e-09
"29",4070,4.84503046130023e-06,2.55270308814554e-09
"30",4072,4.76578744567141e-06,2.51095228960559e-09
"31",4073,4.70236001398264e-06,2.47753425394238e-09
"32",4077,5.0780774212533e-06,2.67548863079731e-09
"33",4080,2.39224481096374e-06,1.26040295625066e-09
"34",4081,4.3562714217306e-06,2.29519042240811e-09
"35",4085,1.68500838175504e-06,8.87781023053236e-10
"36",4086,5.06802007318029e-06,2.67018971189689e-09
"37",4087,4.34116725875412e-06,2.28723248617182e-09
"38",4093,4.73254023349634e-06,2.49343531796435e-09
"39",4095,4.95463274056777e-06,2.61044928375541e-09
"40",4096,4.84363550591323e-06,2.55196812745692e-09
"41",4100,4.16907289544446e-06,2.19656106187801e-09
"42",4101,4.87425425194616e-06,2.56810023811705e-09
"43",4102,3.68713762014647e-06,1.94264363548286e-09
"44",4105,4.88693207504547e-06,2.57477980771627e-09
"45",4106,2.11140716133379e-06,1.11243791429599e-09
"46",4109,5.04038922004296e-06,2.65563183353159e-09
"47",4113,5.05897402788908e-06,2.6654236184874e-09
"48",4114,4.01160227033824e-06,2.113594452233e-09
"49",4115,2.6323402775603e-06,1.38690214834578e-09
"50",4118,4.57145383859729e-06,2.40856366627887e-09
"51",4120,4.2405341824587e-06,2.23421189802882e-09
"52",4121,4.868456716202e-06,2.56504568819916e-09
"53",4122,5.09226544512166e-06,2.68296388046452e-09
"54",4124,3.96166338853598e-06,2.08728313410747e-09
"55",4125,3.82285786493463e-06,2.01415061376956e-09
"56",4127,5.06670973537521e-06,2.66949933370665e-09
"57",4129,3.48999188478528e-06,1.83877338502913e-09
"58",4130,5.01165812149042e-06,2.64049426843542e-09
"59",4134,4.46167686035105e-06,2.35072542694997e-09
"60",4136,4.76764496193443e-06,2.5119309599233e-09
"61",4140,4.9490897125534e-06,2.60752882642434e-09
