"","node","betweenness"
"1",3976,10702
"2",3981,2515
"3",3985,11866
"4",3990,1658
"5",4006,11370
"6",4027,18037
"7",4028,24605
"8",4029,3287
"9",4049,9914
"10",4060,829
"11",4067,14139
"12",4075,2877
"13",4077,20490
"14",4086,254263
"15",4087,5538
"16",4095,2489
"17",4096,50298
"18",4101,14327
"19",4102,9031
"20",4105,1658
"21",4113,9580
"22",4114,2522
"23",4120,2482
"24",4121,2808
"25",4124,3319
"26",4125,28571
"27",4127,15678
"28",4130,9893
"29",4140,25721
"30",4149,20916
"31",4157,345685
"32",4162,6810
"33",4167,17848
"34",4169,3312
"35",4170,6636
"36",4175,1658
"37",4182,8641
"38",4185,4134
"39",4187,16263
"40",4188,527
"41",4194,4138
"42",4196,4155
"43",4219,19575
"44",4221,230
"45",4224,884
"46",4232,11480
"47",4234,1837
"48",4244,1809
"49",4253,4120
"50",4255,38424
"51",4261,2768
"52",4268,19631
"53",4277,826
"54",4280,0
"55",4282,8871
"56",4283,15972
"57",4285,5775
"58",4293,8942
"59",4301,1865
"60",4317,1082
"61",4323,33797
"62",4325,10348
"63",4328,5608
"64",4330,23462
"65",4334,4141
"66",4335,4963
"67",4353,748
"68",4354,11563
"69",4355,15210
"70",4357,4145
"71",4369,11543
"72",4376,7554
"73",4391,12310
"74",4404,19615
"75",4408,34740
"76",4409,1849
"77",4412,19663
"78",4418,2793
"79",4419,11259
"80",4428,8237
"81",4446,12372
"82",4448,4155
"83",4455,26971
"84",4468,20813
"85",4474,23921
"86",4475,35515
"87",4481,9911
"88",4490,2489
"89",4499,833
"90",4502,12563
"91",4503,12509
"92",4513,2489
"93",4525,826
"94",4527,4148
"95",4530,13954
"96",4533,6605
"97",4536,53853
"98",4537,36309
"99",4542,0
"100",4560,18015
"101",4562,2475
"102",4571,4935
"103",4582,0
"104",4588,2489
"105",4591,1665
"106",4608,4469
"107",4626,10723
"108",4632,22512
"109",4633,11997
"110",4635,7475
"111",4641,9879
"112",4642,0
"113",4646,6584
"114",4647,120658
"115",4652,51618
"116",4655,4568
"117",4658,13949
"118",4662,4958
"119",4668,1431
"120",4672,12394
"121",4673,4237
"122",4680,3305
"123",4681,2529
"124",4683,15025
"125",4684,3298
"126",4685,829
"127",4687,3213
"128",4689,3326
"129",4690,23599
"130",4691,10665
"131",4694,56079
"132",4699,1651
"133",4708,38091
"134",4710,14969
"135",4726,5488
"136",4733,11541
"137",4736,2501
"138",4745,77829
"139",4746,0
"140",4754,5250
"141",4756,1656
"142",4769,6110
"143",4775,11536
"144",4782,0
"145",4785,19587
"146",4829,0
"147",4832,3297
"148",4866,4159
