"","node","betweenness"
"1",3977,9956
"2",3995,16982
"3",4000,9869
"4",4008,2481
"5",4014,6224
"6",4016,8811
"7",4022,8559
"8",4027,5087
"9",4028,6311
"10",4036,10016
"11",4043,25369
"12",4047,79314
"13",4049,0
"14",4058,4958
"15",4063,3720
"16",4066,27988
"17",4073,1490
"18",4075,35102
"19",4077,717842
"20",4080,18936
"21",4081,23167
"22",4082,1270
"23",4086,21959
"24",4087,7424
"25",4096,6195
"26",4102,2539
"27",4113,193007
"28",4121,22417
"29",4122,31355
"30",4125,29881
"31",4127,153180
"32",4130,39449
"33",4134,18234
"34",4140,3729
"35",4142,40646
"36",4144,59012
"37",4146,51060
"38",4147,46388
"39",4149,38392
"40",4150,9958
"41",4151,4961
"42",4157,31618
"43",4161,0
"44",4162,2999
"45",4167,27274
"46",4170,8758
"47",4172,99523
"48",4175,8840
"49",4182,27989
"50",4185,24234
"51",4188,9997
"52",4191,10103
"53",4200,118478
"54",4201,12
"55",4204,3749
"56",4213,12049
"57",4217,1855
"58",4221,3750
"59",4225,533770
"60",4226,1489
"61",4231,89521
"62",4240,9878
"63",4251,23507
"64",4255,19932
"65",4260,0
"66",4261,11219
"67",4269,13799
"68",4277,0
"69",4282,7756
"70",4283,8724
"71",4288,57338
"72",4293,17455
"73",4297,2511
"74",4298,12098
"75",4300,8774
"76",4301,22504
"77",4307,11187
"78",4308,25970
"79",4312,233533
"80",4318,3007
"81",4319,4884
"82",4323,6247
"83",4326,767
"84",4330,56705
"85",4332,0
"86",4333,4469
"87",4355,11770
"88",4356,6340
"89",4362,43851
"90",4366,10970
"91",4367,7476
"92",4370,45429
"93",4375,10685
"94",4377,10115
"95",4380,2539
"96",4390,4479
"97",4393,7349
"98",4396,22163
"99",4404,34637
"100",4408,25114
"101",4409,7698
"102",4412,7395
"103",4414,23486
"104",4417,19501
"105",4423,6163
"106",4425,8753
"107",4432,17081
"108",4439,1932
"109",4442,15774
"110",4448,4958
"111",4451,3023
"112",4464,0
"113",4467,5793
"114",4468,11758
"115",4474,15011
"116",4475,2887
"117",4483,9018
"118",4485,9701
"119",4495,6945
"120",4496,31010
"121",4497,1245
"122",4509,3527
"123",4514,10103
"124",4535,14672
"125",4538,11240
"126",4540,23549
"127",4547,2603
"128",4553,17360
"129",4554,2121
"130",4564,49483
"131",4569,22417
"132",4570,14454
"133",4571,5074
"134",4572,10085
"135",4573,6491
"136",4580,32700
"137",4591,84315
"138",4594,8774
"139",4598,32114
"140",4600,46239
"141",4608,3664
"142",4609,10045
"143",4610,14701
"144",4619,2411
"145",4627,6339
"146",4629,6611
"147",4630,2657
"148",4632,5045
"149",4633,143648
"150",4655,2944
"151",4665,25715
"152",4670,47029
"153",4678,12945
"154",4680,1241
"155",4684,11988
"156",4687,0
"157",4694,4594
"158",4699,2510
"159",4700,2915
"160",4717,6152
"161",4719,1243
"162",4725,16229
"163",4727,2488
"164",4728,34307
"165",4738,4435
"166",4762,11317
"167",4764,30513
"168",4769,11415
"169",4776,26659
"170",4780,25612
"171",4790,17911
"172",4807,116592
"173",4811,3184
"174",4812,25744
"175",4817,3827
"176",4862,2481
"177",4869,12519
"178",4872,10867
"179",4873,21670
"180",4874,10005
"181",4882,0
"182",4884,7453
"183",4894,10647
"184",4900,6299
"185",4901,78995
"186",4902,1177
"187",4903,8840
"188",4912,12683
"189",4918,2737
"190",4934,8777
"191",4935,7341
"192",4936,38422
"193",4940,1241
"194",4943,120
"195",4951,11887
"196",4955,2707
"197",4956,15990
"198",4957,97097
"199",4960,107193
"200",4963,3720
"201",4978,1241
"202",4983,20516
"203",4985,10103
"204",4995,26383
"205",4997,30455
"206",5009,9333
"207",5010,8666
"208",5021,15974
"209",5034,9579
"210",5042,7877
"211",5058,49863
"212",5070,62779
"213",5078,9608
"214",5085,220170
"215",5090,3081
"216",5109,22885
"217",5112,22562
"218",5121,20409
"219",5126,0
"220",5129,9585
"221",5130,37192
"222",5146,13963
"223",5158,8724
"224",5159,45094
"225",5162,39608
"226",5166,13485
"227",5184,31173
"228",5203,130504
"229",5210,47248
"230",5213,3169
"231",5215,26182
"232",5218,47649
"233",5226,6265
"234",5233,14188
"235",5235,12258
"236",5239,64623
"237",5240,19632
"238",5246,29971
"239",5248,1241
"240",5250,1272
"241",5258,2532
"242",5267,891
"243",5270,10074
"244",5292,11258
"245",5301,131185
"246",5313,16533
"247",5316,2539
"248",5317,9466
"249",5320,9508
"250",5321,25318
"251",5328,11400
"252",5331,6113
"253",5347,10045
"254",5351,1515
"255",5358,6253
"256",5360,19637
"257",5362,34044
"258",5384,18990
"259",5386,1243
"260",5393,3036
"261",5399,11429
"262",5401,6307
"263",5404,59882
