node1	node2	weight	headerCode
"3985"	"4945"	"1.85164022445679"	"INFO"
"3985"	"5015"	"1.85164022445679"	"INFO"
"3985"	"6660"	"1.95180010795593"	"INFO"
"3985"	"17539"	"1.90692520141602"	"INFO"
"3986"	"6217"	"0.37085822224617"	"SL"
"3987"	"3987"	"15.4919338226318"	"ECON"
"3987"	"4111"	"1.16444504261017"	"ECON"
"3987"	"4114"	"0.654653668403625"	"PF"
"3987"	"4232"	"5.16397762298584"	"IMM"
"3987"	"4571"	"2.48069477081299"	"PF"
"3987"	"4633"	"1.83855426311493"	"IMM"
"3987"	"4633"	"0.647184789180756"	"MOB"
"3987"	"5226"	"1.04446589946747"	"ECON"
"3987"	"5379"	"0.0728727355599403"	"MOB"
"3987"	"6720"	"2.6186146736145"	"MOB"
"3987"	"8434"	"5.85540056228638"	"PF"
"3987"	"11021"	"10.9544515609741"	"ECON"
"3987"	"11121"	"4.4721360206604"	"MOB"
"3987"	"11531"	"0.445177853107452"	"ECON"
"3987"	"12328"	"3.46410155296326"	"IMM"
"3987"	"13007"	"1.67053818702698"	"MOB"
"3987"	"13466"	"2.33549690246582"	"MOB"
"3987"	"16858"	"6.92820310592651"	"DEF"
"3987"	"17013"	"2.08893179893494"	"PF"
"3987"	"18072"	"2.51312351226807"	"PF"
"3987"	"18206"	"6.92820310592651"	"IMM"
"3987"	"18397"	"3.38061690330505"	"IMM"
"3988"	"4036"	"1.95180010795593"	"SL"
"3988"	"4478"	"10.9544515609741"	"REL"
"3988"	"4666"	"0.949871361255646"	"DEF"
"3988"	"5159"	"2.78243327140808"	"IMM"
"3988"	"5260"	"3.03821802139282"	"ENVIRO"
"3988"	"6484"	"1.69030845165253"	"RES"
"3988"	"6958"	"1.10096371173859"	"IMM"
"3988"	"7027"	"2.87677979469299"	"SOS"
"3988"	"7269"	"3.38061690330505"	"X"
"3988"	"7417"	"0.200990632176399"	"MED"
"3988"	"7677"	"3.75734567642212"	"MED"
"3988"	"10713"	"10.9544515609741"	"ECON"
"3988"	"13814"	"3.87298345565796"	"IMM"
"3988"	"14170"	"0.44965586066246"	"ECON"
"3988"	"18341"	"2.2360680103302"	"DEF"
"3989"	"3989"	"15.4919338226318"	"ECON"
"3989"	"6107"	"0.094768263399601"	"ECON"
"3989"	"9350"	"1.00843894481659"	"DEF"
"3990"	"3990"	"16.5270321369171"	"ECON"
"3990"	"3990"	"1.21342182159424"	"SL"
"3990"	"4028"	"0.70200651884079"	"ECON"
"3990"	"4081"	"0.623681724071503"	"ECON"
"3990"	"4109"	"2.16930460929871"	"MOB"
"3990"	"4156"	"1.05900681018829"	"SL"
"3990"	"4247"	"0.784464538097382"	"DEF"
"3990"	"4283"	"0.861994206905365"	"PF"
"3990"	"4330"	"0.537732839584351"	"DEF"
"3990"	"4952"	"0.165483385324478"	"DEF"
"3990"	"5068"	"3.38061690330505"	"ECON"
"3990"	"5121"	"0.291162669658661"	"DEF"
"3990"	"5297"	"1.19880175590515"	"PF"
"3990"	"5532"	"1.68033611774445"	"DEF"
"3990"	"5570"	"2.78243327140808"	"PF"
"3990"	"5628"	"1.65144562721252"	"PF"
"3990"	"5681"	"0.927477777004242"	"PF"
"3990"	"5707"	"0.544667363166809"	"DEF"
"3990"	"5736"	"1.93649172782898"	"CONV"
"3990"	"5999"	"1.17782986164093"	"PF"
"3990"	"6196"	"2.21313333511353"	"PF"
"3990"	"6406"	"1.17108011245728"	"WA"
"3990"	"6491"	"4.4721360206604"	"DEF"
"3990"	"6626"	"0.620671212673187"	"SL"
"3990"	"6795"	"2.54685807228088"	"ECON"
