node1	node2	weight	topicId	
"3976"	"3976"	"7.74596691131592"	"145"
"3976"	"6214"	"1.29099440574646"	"145"
"3976"	"12127"	"15.4919338226318"	"74"
"3977"	"4109"	"1.08200359344482"	"9"
"3977"	"4185"	"0.363736569881439"	"128"
"3977"	"4273"	"4.14039325714111"	"16"
"3977"	"5163"	"2.51312351226807"	"89"
"3977"	"5205"	"2.87677979469299"	"46"
"3977"	"6184"	"0.067181184887886"	"71"
"3977"	"6383"	"0.0742414444684982"	"44"
"3977"	"8797"	"1.8131936788559"	"62"
"3977"	"9394"	"3.65148377418518"	"16"
"3977"	"10811"	"0.115808308124542"	"76"
"3977"	"12569"	"0.189689233899117"	"53"
"3977"	"12809"	"0.123301841318607"	"72"
"3977"	"15995"	"0.454076617956161"	"49"
"3978"	"3993"	"0.295742392539978"	"32"
"3978"	"4951"	"6.32455539703369"	"223"
"3978"	"5525"	"1.0793741941452"	"223"
"3978"	"6647"	"1.18469774723053"	"17"
"3978"	"6931"	"0.779483735561371"	"32"
"3978"	"7150"	"2.25973081588745"	"17"
"3978"	"9789"	"15.4919338226318"	"33"
"3979"	"6249"	"15.4919338226318"	"43"
"3979"	"14674"	"15.4919338226318"	"74"
"3979"	"16419"	"2.54685807228088"	"62"
"3979"	"18573"	"3.46410155296326"	"256"
"3980"	"5160"	"2.07019662857056"	"14"
"3980"	"10255"	"5.85540056228638"	"19"
"3980"	"12694"	"1.24034738540649"	"32"
"3981"	"3981"	"3.65148377418518"	"53"
"3981"	"3981"	"1.10375452041626"	"163"
"3981"	"3981"	"15.4919338226318"	"258"
"3981"	"3981"	"4.67099380493164"	"301"
"3981"	"4021"	"0.38069349527359"	"248"
"3981"	"4077"	"1.32842230796814"	"89"
"3981"	"4080"	"0.556846022605896"	"212"
"3981"	"4096"	"0.417028814554214"	"199"
"3981"	"4114"	"0.615263283252716"	"262"
"3981"	"4185"	"0.743636608123779"	"250"
"3981"	"4252"	"2.2360680103302"	"318"
"3981"	"4283"	"1.87867283821106"	"221"
"3981"	"4325"	"0.960768938064575"	"217"
"3981"	"4542"	"2.58198881149292"	"310"
"3981"	"4556"	"1.16116952896118"	"106"
"3981"	"4583"	"7.74596691131592"	"163"
"3981"	"4630"	"0.222934365272522"	"53"
"3981"	"4650"	"4.2966890335083"	"210"
"3981"	"4655"	"3.38061690330505"	"261"
"3981"	"4690"	"1.15150630474091"	"198"
"3981"	"4813"	"0.533570528030396"	"48"
"3981"	"4862"	"0.652907133102417"	"73"
"3981"	"4889"	"1.15470051765442"	"73"
"3981"	"4952"	"0.436435788869858"	"153"
"3981"	"5007"	"0.516397774219513"	"312"
"3981"	"5112"	"1.04924607276917"	"72"
"3981"	"5159"	"1.65144562721252"	"233"
"3981"	"5267"	"0.718421220779419"	"4"
"3981"	"5426"	"1.51910901069641"	"233"
"3981"	"5618"	"2.82842707633972"	"289"
"3981"	"5709"	"1.87867283821106"	"132"
"3981"	"6313"	"0.651174545288086"	"279"
"3981"	"6355"	"0.625713288784027"	"163"
"3981"	"6482"	"6.92820310592651"	"62"
"3981"	"6660"	"1.28653502464294"	"212"
"3981"	"6694"	"0.344265192747116"	"167"
"3981"	"6836"	"0.307389318943024"	"1"
"3981"	"7161"	"0.781464636325836"	"4"
"3981"	"8015"	"1.77704668045044"	"71"
