time,username,course_id,forum_action,thread_id,subject,target_user_id,search_query,event_GET
1.44E+09,bskiles67,UBCx/Climate101x/3T2015,read,5602fa269714b08e0600220d,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,bskiles67,UBCx/Climate101x/3T2015,read,561da108c76277c3410004fd,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,erenoe,UBCx/Climate101x/3T2015,read,561d7cccc76277630e00049b,8c12e4419027d4cc7b13d548a6441fe10c2b31e3,,,{}
1.44E+09,erenoe,UBCx/Climate101x/3T2015,read,561d7cccc76277630e00049b,8c12e4419027d4cc7b13d548a6441fe10c2b31e3,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Deepakpal33,UBCx/Climate101x/3T2015,read,561d7cccc76277630e00049b,8c12e4419027d4cc7b13d548a6441fe10c2b31e3,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Deepakpal33,UBCx/Climate101x/3T2015,read,561da108c76277c3410004fd,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Deepakpal33,UBCx/Climate101x/3T2015,read,5602fa269714b08e0600220d,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Jobelle15,UBCx/Climate101x/3T2015,read,561da108c76277c3410004fd,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Jobelle15,UBCx/Climate101x/3T2015,read,561d7cccc76277630e00049b,8c12e4419027d4cc7b13d548a6441fe10c2b31e3,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Jobelle15,UBCx/Climate101x/3T2015,read,5602fa269714b08e0600220d,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Jobelle15,UBCx/Climate101x/3T2015,read,561da108c76277c3410004fd,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,SaraEHarris,UBCx/Climate101x/3T2015,read,561d7cccc76277630e00049b,8c12e4419027d4cc7b13d548a6441fe10c2b31e3,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,SaraEHarris,UBCx/Climate101x/3T2015,read,561da108c76277c3410004fd,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Jobelle15,UBCx/Climate101x/3T2015,read,561da108c76277c3410004fd,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Dcarley,UBCx/Climate101x/3T2015,read,561dc170c762776ccf000520,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Jobelle15,UBCx/Climate101x/3T2015,read,561d7cccc76277630e00049b,8c12e4419027d4cc7b13d548a6441fe10c2b31e3,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Jobelle15,UBCx/Climate101x/3T2015,read,561dc170c762776ccf000520,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Jobelle15,UBCx/Climate101x/3T2015,read,5602fa269714b08e0600220d,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,JohnCadavid,UBCx/Climate101x/3T2015,read,561dc170c762776ccf000520,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,JohnCadavid,UBCx/Climate101x/3T2015,read,561da108c76277c3410004fd,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,JohnCadavid,UBCx/Climate101x/3T2015,read,561d7cccc76277630e00049b,8c12e4419027d4cc7b13d548a6441fe10c2b31e3,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,JohnCadavid,UBCx/Climate101x/3T2015,read,5602fa269714b08e0600220d,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,dxturner,UBCx/Climate101x/3T2015,read,561d7cccc76277630e00049b,8c12e4419027d4cc7b13d548a6441fe10c2b31e3,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,JamesWilcox,UBCx/Climate101x/3T2015,read,5602fa269714b08e0600220d,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,JamesWilcox,UBCx/Climate101x/3T2015,read,561dc170c762776ccf000520,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,JamesWilcox,UBCx/Climate101x/3T2015,read,561da108c76277c3410004fd,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,JamesWilcox,UBCx/Climate101x/3T2015,read,561d7cccc76277630e00049b,8c12e4419027d4cc7b13d548a6441fe10c2b31e3,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,ronaldgamboav,UBCx/Climate101x/3T2015,read,561d7cccc76277630e00049b,8c12e4419027d4cc7b13d548a6441fe10c2b31e3,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Jobelle15,UBCx/Climate101x/3T2015,read,561dc170c762776ccf000520,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Jobelle15,UBCx/Climate101x/3T2015,read,561d7cccc76277630e00049b,8c12e4419027d4cc7b13d548a6441fe10c2b31e3,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Jobelle15,UBCx/Climate101x/3T2015,read,561dc170c762776ccf000520,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,ronaldgamboav,UBCx/Climate101x/3T2015,read,561dc170c762776ccf000520,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,Jobelle15,UBCx/Climate101x/3T2015,read,561dc170c762776ccf000520,course1,,,{}
1.44E+09,Jobelle15,UBCx/Climate101x/3T2015,read,561dc170c762776ccf000520,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
1.44E+09,ronaldgamboav,UBCx/Climate101x/3T2015,read,561da108c76277c3410004fd,course1,,,"{""ajax"": [""1""], ""resp_limit"": [""25""], ""resp_skip"": [""0""]}"
